data,data_iso,modelo,imei,valor_venda,brinde,custo,lucro,pix,dinheiro,cartao_credito,cartao_debito,troca_aparelho,outros_pagamentos,soma_pagamentos,diferenca,tem_troca,modelo_troca,valor_troca,vendedor,loja,loja_id
01/05/2026,2026-05-01,IPHONE 16 PRO MAX 256GB NATURAL SEMINOVO,353484624594932,5525.0,25.0,5000.0,500.0,0,0,0,0,2750.0,0,2750.0,2775.0,SIM,IPH 15 128GB,2750.0,Higor Guedes,CELL,1
01/05/2026,2026-05-01,MACBOOK M1 SPACE 8/256 SEMINOVO,C02G79MTQ6L7,4100.0,0.0,3900.0,200.0,6410.0,0,0,0,0,0,6410.0,-2310.0,NAO,,0,Higor Guedes,CELL,1
01/05/2026,2026-05-01,IPHONE 16 PRO MAX BRANCO 1TB SEMINOVO,357177506679088,6260.0,25.0,5350.0,885.0,0,0,0,0,3950.0,0,3950.0,2310.0,SIM,IPH 15 PRO MAX 256GB AZUL,3950.0,Higor Guedes,CELL,1
02/05/2026,2026-05-02,APPLE WATCH SERIE 11 46MM SPACE GRAY NOVO,KXJL4WFK4P,2450.0,0.0,2350.0,100.0,0,0,0,0,0,0,0,2450.0,NAO,,0,Marcela,ONLINE,4
02/05/2026,2026-05-02,IPHONE 14 128GB BRANCO SEMINOVO,350671525377135,2199.0,35.0,2050.0,114.0,2150.0,0,0,50.0,0,0,2200.0,-1.0,NAO,,0,Ronald,CASES,19
02/05/2026,2026-05-02,IPHONE 17 256GB LAVANDA NOVO,359973613029086,5300.0,20.0,5050.0,230.0,0,0,5162.74,0,700.0,0,5862.74,-562.74,SIM,IPH 11 128GB BRANCO,700.0,Ronald,CASES,19
02/05/2026,2026-05-02,APPLE WATCH ULTRA 3 PRETO NOVO,368135794662306,4750.0,0.0,4400.0,350.0,0,0,0,0,0,0,0,4750.0,NAO,,0,Ronald,CASES,19
02/05/2026,2026-05-02,IPHONE 16 PRO MAX 512GB PRETO SEMINOVO,356744605708190,5600.0,25.0,5150.0,425.0,0,0,0,0,5150.0,0,5150.0,450.0,SIM,IPH 11 128GB PRETO / PIX,5150.0,Renan,BLOCO B,20
02/05/2026,2026-05-02,IPHONE 15 PRO MAX 256GB NATURAL SEMINOVO,351465642570501,4200.0,10.0,3950.0,240.0,10349.0,0,0,0,500.0,0,10849.0,-6649.0,SIM,IPH XR 64GB PRETO,500.0,Higor Guedes,CELL,1
02/05/2026,2026-05-02,IPHONE 17 PRO MAX 256GB BRANCO NOVO,350552896576341,8899.0,10.0,8300.0,589.0,0,0,0,0,2250.0,0,2250.0,6649.0,SIM,IPH 13 PRO MAX 128GB PRETO,2250.0,Higor Guedes,CELL,1
03/05/2026,2026-05-03,IPHONE 11 64GB PRETO SEMINOVO,352923110862460,800.0,0.0,650.0,150.0,0,0,0,0,0,0,0,800.0,NAO,,0,Ronald,CASES,19
03/05/2026,2026-05-03,IPHONE 16 PRO 256GB PRETO SEMINOVO,355515607895768,4700.0,0.0,4450.0,250.0,0,0,0,0,0,0,0,4700.0,NAO,,0,Yasmin,ONLINE,4
03/05/2026,2026-05-03,IPHONE 11 PRO 256GB BRANCO SEMINOVO,352834111876179,1200.0,25.0,700.0,475.0,950.0,0,0,0,250.0,0,1200.0,0.0,SIM,IPH XR 64GB,250.0,Marcela,ONLINE,4
03/05/2026,2026-05-03,BOMBOX 4 PRETA NOVO,TL1876-JP0086246,2350.0,0.0,2350.0,0.0,0,0,0,0,0,0,0,2350.0,NAO,,0,Marcela,ONLINE,4
03/05/2026,2026-05-03,IPHONE 14 PRO 256GB SEMINOVO,354542503453857,3200.0,25.0,2950.0,225.0,1000.0,0,2200.0,0,0,0,3200.0,0.0,NAO,,0,Marcela,ONLINE,4
03/05/2026,2026-05-03,IPHONE 15 PRO MAX 256Gb SEMINOVO,351306992348280,4300.0,25.0,3950.0,325.0,0,0,0,0,0,0,0,4300.0,NAO,,0,Marcela,ONLINE,4
03/05/2026,2026-05-03,IPAD 11 128GB AMARELO NOVO,D26WC4VMQP,2715.0,150.0,2140.0,425.0,1315.0,1400.0,0,0,0,0,2715.0,0.0,NAO,,0,Marcela,ONLINE,4
03/05/2026,2026-05-03,IPHONE 14 PRO 128GB ROXO SEMINOVO,357712761232320,3000.0,25.0,2700.0,275.0,0,0,3367.0,0,0,0,3367.0,-367.0,NAO,,0,Bianca,CASES,19
03/05/2026,2026-05-03,IPHONE 17 PRO MAX 512GB AZUL LACRADO,350552898007873,9280.0,30.0,9050.0,200.0,9280.0,0,0,0,0,0,9280.0,0.0,NAO,,0,Renata,CELL,1
03/05/2026,2026-05-03,IPHONE 14 PRO MAX 256GB ROXO SEMINOVO,356684163986301,3521.0,25.0,3200.0,296.0,1300.0,0,0,0,0,0,1300.0,2221.0,NAO,,0,Guilherme,BLOCO B,20
03/05/2026,2026-05-03,IPHONE 14 128GB AZUL SEMINOVO,358264144532215,2200.0,25.0,2050.0,125.0,0,0,0,0,0,0,0,2200.0,NAO,,0,Guilherme,BLOCO B,20
03/05/2026,2026-05-03,IPHONE 14 PRO MAX 256GB ROXO SEMINOVO,353742532615895,3550.0,25.0,3200.0,325.0,0,0,0,0,0,0,0,3550.0,NAO,,0,Ronald,CASES,19
03/05/2026,2026-05-03,SAMSUNG TAB S10 FE 128GB CINZA NOVO,R5GL343H0BP,2582.0,95.0,2350.0,137.0,2400.0,0,190.0,0,0,0,2590.0,-8.0,NAO,,0,Ronald,CASES,19
03/05/2026,2026-05-03,IPHONE 14 128GB LILAS SEMINOVO,354807376249710,2190.0,25.0,2050.0,115.0,0,0,0,0,0,0,0,2190.0,NAO,,0,Higor Guedes,CELL,1
03/05/2026,2026-05-03,IPHONE 13 PRO MAX 256G BRANCO SEMINOVO,351596247157557,3287.0,25.0,2950.0,312.0,2687.0,0,0,0,600.0,0,3287.0,0.0,SIM,IPHONE 11 64GB VERDE,600.0,Higor Guedes,CELL,1
05/05/2026,2026-05-05,IPHONE 17 256GB PRETO LACRADO,351807178569383,5530.0,25.0,4950.0,555.0,0,0,0,0,0,0,0,5530.0,NAO,,0,Renata,CELL,1
05/05/2026,2026-05-05,IPHONE 14 256GB PRETO SEMINOVO,353267568818502,2450.0,18.0,2150.0,282.0,0,0,0,0,0,0,0,2450.0,NAO,,0,Renata,CELL,1
05/05/2026,2026-05-05,IPHONE 17 PRO MAX 256GB SILVER NOVO,357247252989922,8500.0,0.0,8300.0,200.0,0,0,0,0,4000.0,0,4000.0,4500.0,SIM,IPHONE 15 PRO MAX 256GB PRETO,4000.0,Ronald,CASES,19
05/05/2026,2026-05-05,IPHONE 17 PRO MAX 256GB AZUL NOVO,357205981616604,8300.0,0.0,8100.0,200.0,0,0,0,0,0,0,0,8300.0,NAO,,0,Ronald,CASES,19
05/05/2026,2026-05-05,NOTE 15 PRO 5G 256GB AZUL NOVO,860548074484947,1950.0,0.0,1690.0,260.0,0,0,0,0,0,0,0,1950.0,NAO,,0,Ronald,CASES,19
05/05/2026,2026-05-05,REALME C75 5G PRETO 256GB NOVO,862813070179174,1340.0,0.0,1240.0,100.0,0,0,1436.07,0,0,0,1436.07,-96.07,NAO,,0,Ronald,CASES,19
05/05/2026,2026-05-05,IPHONE 13 128GB PRETO SEMINOVO,351264787086047,2025.0,25.0,1800.0,200.0,0,0,4607.51,0,0,0,4607.51,-2582.51,NAO,,0,Ronald,CASES,19
05/05/2026,2026-05-05,IPHONE 13 128GB BRANCO SEMINOVO,351520705483289,2025.0,25.0,1800.0,200.0,0,0,0,0,0,0,0,2025.0,NAO,,0,Ronald,CASES,19
05/05/2026,2026-05-05,IPHONE 14 PLUS 128GB PRETO SEMINOVO,359069332647611,2593.0,25.0,2300.0,268.0,0,0,0,0,0,0,0,2593.0,NAO,,0,Higor Guedes,CELL,1
05/05/2026,2026-05-05,IPHONE 13 PRO 256GB GRAFIT SEMINOVO,350367272380303,2750.0,25.0,2500.0,225.0,0,0,0,0,0,0,0,2750.0,NAO,,0,Higor Guedes,CELL,1
05/05/2026,2026-05-05,IPHONE 15 128GB ROSA SEMINOVO,357395865324357,2900.0,25.0,2750.0,125.0,0,0,0,1200.0,1700.0,0,2900.0,0.0,SIM,IPHONE 13 128GB ROSA,1700.0,Yasmin,ONLINE,4
05/05/2026,2026-05-05,REDMI NOTE 15 5G 256GB PRETO NOVO,865292088798209,1500.0,0.0,1370.0,130.0,0,400.0,1100.0,0,0,0,1500.0,0.0,NAO,,0,Yasmin,ONLINE,4
05/05/2026,2026-05-05,IPHONE 17 PRO 256GB BRANCO SEMINOVO,,6880.0,25.0,6350.0,300.0,4880.0,0,0,0,2000.0,0,6880.0,0.0,SIM,IPH 14 128GB PRETO,2000.0,Higor Guedes,CELL,1
06/05/2026,2026-05-06,IPAD 11 128GB 128GB SILVER NOVO,G79XRVF52R,2320.0,10.0,2180.0,130.0,0,0,0,0,0,0,0,2320.0,NAO,,0,Marcela,ONLINE,4
06/05/2026,2026-05-06,IPHONE 15 128GB ROSA SEMINOVO,356054491176662,2960.0,60.0,2750.0,125.0,0,0,0,0,0,0,0,2960.0,NAO,,0,Marcela,ONLINE,4
06/05/2026,2026-05-06,IPHONE 14 PRO MAX 256GB PRETO SEMINOVO,,3590.0,15.0,3200.0,375.0,842.35,0,0,0,400.0,0,1242.35,2347.65,SIM,13 PRO MAX 512GB,400.0,Bianca,CASES,19
06/05/2026,2026-05-06,IPHONE 15 PRO MAX 256GB PRETO SEMINOVO,355364280424731,4150.0,0.0,3950.0,200.0,0,0,0,0,0,0,0,4150.0,NAO,,0,Ronald,CASES,19
06/05/2026,2026-05-06,IPHONE 16 PRO MAX 256GB PRETO SEMINOVO,358637628310721,5600.0,25.0,5250.0,325.0,2600.0,0,0,0,3000.0,0,5600.0,0.0,SIM,IPH 15 PRO 128GB NATURAL,3000.0,Raissa,BLOCO B,20
06/05/2026,2026-05-06,IPHONE 16 PRO MAX 256GB PRETO SEMINOVO,354276355652528,5400.0,25.0,5000.0,375.0,0,0,0,0,0,0,0,5400.0,NAO,,0,Raissa,BLOCO B,20
06/05/2026,2026-05-06,IPHONR 17E 256GB PRETO NOVO,351961171443417,3800.0,0.0,3550.0,250.0,0,0,0,0,0,0,0,3800.0,NAO,,0,Guilherme,BLOCO B,20
06/05/2026,2026-05-06,IPHONE 17 PRO MAX 256GB AZUL NOVO,358434702268268,8400.0,0.0,8150.0,250.0,0,0,0,0,0,0,0,8400.0,NAO,,0,Guilherme,BLOCO B,20
06/05/2026,2026-05-06,IPHONE 17 PRO MAX 256GB AZUL NOVO,358434708144554,8400.0,15.0,8100.0,285.0,0,4450.0,0,0,3950.0,0,8400.0,0.0,SIM,IPH 15 PRO MAX 256GB AZUL,3950.0,Renan,BLOCO B,20
06/05/2026,2026-05-06,IPHONE 15 128GB PRETO SEMINOVO,359757420449029,3000.0,25.0,2750.0,225.0,2000.0,0,0,0,1000.0,0,3000.0,0.0,SIM,IPH 12 128GB PRETO,1000.0,Renan,BLOCO B,20
07/05/2026,2026-05-07,IPHONE 17 PRO MAX 256GB AZUL NOVO,351771405550451,8390.0,40.0,8150.0,200.0,8390.0,0,0,0,0,0,8390.0,0.0,NAO,,0,Ronald,CASES,19
07/05/2026,2026-05-07,IPHONE 13 PRO MAX 128GB DOURADO SEMINOVO,354347187764201,2890.0,65.0,2650.0,175.0,0,0,0,0,0,0,0,2890.0,NAO,,0,Marcela,ONLINE,4
07/05/2026,2026-05-07,REDMI NOTE 15 5G 256GB ROXO NOVO,86195070529825,1420.0,0.0,1360.0,60.0,0,0,0,0,0,0,0,1420.0,NAO,,0,Ronald,CASES,19
07/05/2026,2026-05-07,POCO F7 512GB PRATA NOVO,862136074435040,341.0,120.0,2800.0,511.0,1750.0,0,1681.0,0,0,0,3431.0,-3090.0,NAO,,0,Marcela,ONLINE,4
07/05/2026,2026-05-07,IPHONE 17 PRO MAX 256GB BRANCO NOVO,357247253990986,8780.0,10.0,8300.0,470.0,2600.0,0,0,0,6180.0,0,8780.0,0.0,SIM,IPH 14 PRO MAX ROXO 256GB; IPH 15 PRO 256GB NATURAL,6180.0,Higor Guedes,CELL,1
07/05/2026,2026-05-07,IPHONE 13 PRO MAX 128GB AZUL SEMINOVO,35717750667908,3230.0,205.0,2650.0,375.0,1330.0,0,0,0,1900.0,0,3230.0,0.0,SIM,IPH 12 PRO MAX AZUL,1900.0,Higor Guedes,CELL,1
07/05/2026,2026-05-07,IPHONE 17 PRO MAX 512GB AZUL NOVO,351668144729893,9950.0,0.0,8850.0,1100.0,5250.0,0,0,0,4700.0,0,9950.0,0.0,SIM,IPH 16 PRO MAX 256GB DESERT,4700.0,Higor Guedes,CELL,1
07/05/2026,2026-05-07,IPHONE 17 PRO 256GB SILVER NOVO,354289639953000,7850.0,0.0,7580.0,270.0,5250.0,0,0,0,2600.0,0,7850.0,0.0,SIM,IPH 15 PRO,2600.0,Higor Guedes,CELL,1
08/05/2026,2026-05-08,IPHONE 14 128GB LILAS SEMINOVO,350577192598574,2400.0,25.0,2050.0,325.0,1100.0,0,0,0,1300.0,0,2400.0,0.0,SIM,IPHONE 12 128GB AZUL,1300.0,Ronald,CASES,19
08/05/2026,2026-05-08,IPHONE 17 PRO MAX 256GB PRATA NOVO,351771409088771,8480.0,15.0,8300.0,165.0,2830.0,2500.0,0,0,128.0,0,5458.0,3022.0,SIM,14 PRO MAX,128.0,Marcela,ONLINE,4
08/05/2026,2026-05-08,IPHONE 13 128GB PRETO SEMINOVO,350038441784457,1924.0,15.0,1800.0,99.0,0,0,0,0,0,0,0,1924.0,NAO,,0,Marcela,ONLINE,4
08/05/2026,2026-05-08,IPHONE 13 PRO MAX 128GB PRETO SEMINOVO,352114954343441,2850.0,25.0,2650.0,175.0,2850.0,0,0,0,0,0,2850.0,0.0,NAO,,0,Marcela,ONLINE,4
08/05/2026,2026-05-08,AIRPODS PRO 3 NOVO,H2P49XQY13,1700.0,0.0,1500.0,200.0,0,0,1873.9,0,0,0,1873.9,-173.9,NAO,,0,Ronald,CASES,19
08/05/2026,2026-05-08,IPHONE 14 PRO MAX BRANCO SEMINOVO,350636590567381,3250.0,0.0,3150.0,100.0,3250.0,0,0,0,0,0,3250.0,0.0,NAO,,0,Ronald,CASES,19
08/05/2026,2026-05-08,POCO PAD M1 CINZA NOVO,7111Y5YJ02338,1750.0,0.0,1600.0,150.0,0,0,0,0,0,0,0,1750.0,NAO,,0,Guilherme,BLOCO B,20
08/05/2026,2026-05-08,IPHONE 14 PRO MAX ROXO SEMINOVO,357650612874918,3425.0,15.0,3150.0,260.0,0,0,0,0,0,0,0,3425.0,NAO,,0,Guilherme,BLOCO B,20
08/05/2026,2026-05-08,IPHONE 17 PRO MAX 512GB SILVER NOVO,357329447631468,9900.0,0.0,9500.0,400.0,5400.0,0,0,0,4500.0,0,9900.0,0.0,SIM,16 PRO DE 256 GB NA COR DESERT,4500.0,Raissa,BLOCO B,20
08/05/2026,2026-05-08,IPHONE XR 64GB PRETO SEMINOVO,35308210166173,750.0,25.0,500.0,225.0,0,0,0,0,0,0,0,750.0,NAO,,0,Raissa,BLOCO B,20
09/05/2026,2026-05-09,GALAXY TAB S10 FE NOVO,R5GL34HOBP,2680.0,70.0,2350.0,260.0,520.0,160.0,2000.0,0,0,0,2680.0,0.0,NAO,,0,Marcela,ONLINE,4
09/05/2026,2026-05-09,IPHONE 12 128GB AZUL SEMINOVO,353361731078373,1600.0,25.0,1300.0,275.0,375.0,0,1225.0,0,0,0,1600.0,0.0,NAO,,0,Marcela,ONLINE,4
09/05/2026,2026-05-09,IPHONE 13 PRO MAX 128GB DOURADO SEMINOVO,353869220959541,2940.0,25.0,2650.0,265.0,0,0,2940.0,0,0,0,2940.0,0.0,NAO,,0,Marcela,ONLINE,4
09/05/2026,2026-05-09,IPHONE 13 PRO MAX 128GB DOURADO SEMINOVO,353967811367765,2900.0,5.0,2650.0,245.0,1800.0,0,0,0,1100.0,0,2900.0,0.0,SIM,IPH 12 64GB,1100.0,Renan,BLOCO B,20
09/05/2026,2026-05-09,IPHONE 17 PRO BRANCO NOVO,354289633906715,7600.0,0.0,7500.0,100.0,11750.0,0,0,0,0,0,11750.0,-4150.0,NAO,,0,Ronald,CASES,19
09/05/2026,2026-05-09,IPHONE 17E PRETO NOVO,351101750253834,4150.0,0.0,3700.0,450.0,0,0,0,0,0,0,0,4150.0,NAO,,0,Ronald,CASES,19
09/05/2026,2026-05-09,IPHONE 16 PRO 256GB DOURADO SEMINOVO,358876629642191,5000.0,15.0,4500.0,485.0,0,0,0,0,0,0,0,5000.0,NAO,,0,Renata,CELL,1
09/05/2026,2026-05-09,IPHONE 14 PRO MAX 128GB PRETO SEMINOVO,356703857557028,3650.0,25.0,3150.0,475.0,0,0,0,0,0,0,0,3650.0,NAO,,0,Renata,CELL,1
09/05/2026,2026-05-09,IPHONE 14 PRO ROXO SEMINOVO,350923388804337,2953.0,25.0,2700.0,228.0,0,0,3161.5,0,0,0,3161.5,-208.5,NAO,,0,Ronald,CELL,1
09/05/2026,2026-05-09,IPHONE 14 LILAS 128GB  SEMINOVO,35142179914814,2350.0,15.0,2050.0,285.0,1850.0,0,0,0,500.0,0,2350.0,0.0,SIM,IPHONE 11 64G,500.0,Renan,BLOCO B,20
09/05/2026,2026-05-09,IPAD 11 (A16) 128GB BRANCO NOVO,MTGXKDV9QX,2650.0,75.0,2199.99,375.0,0,0,0,0,0,0,0,2650.0,NAO,,0,Renata,CELL,1
09/05/2026,2026-05-09,IPHONE 15 AZUL NOVO,355225774481521,4000.0,15.0,3600.0,385.0,2400.0,0,0,0,1600.0,0,4000.0,0.0,SIM,IPHONE 13,1600.0,Ruyter,CASES,19
09/05/2026,2026-05-09,IPHONE 17E ROSA 256GB NOVO,357457921078326,3950.0,15.0,3650.0,285.0,2300.0,0,0,0,1650.0,0,3950.0,0.0,SIM,"IPHONE 13 PRETO, 128G",1650.0,Renan,BLOCO B,20
09/05/2026,2026-05-09,X8 PRO 256GB PRETO NOVO,866132085655102,2100.0,0.0,1900.0,200.0,0,0,0,0,0,0,0,2100.0,NAO,,0,Raissa,BLOCO B,20
09/05/2026,2026-05-09,IPHONE 15 PRO MAX 256GB NATURAL SEMINOVO,356511211655440,4150.0,25.0,3950.0,175.0,0,0,0,0,0,0,0,4150.0,NAO,,0,Higor Guedes,CELL,1
09/05/2026,2026-05-09,IPHONE 17 PRO MAX 256GB SILVER NOVO,351668140692723,8618.0,10.0,8350.0,258.0,6618.0,0,0,0,2000.0,0,8618.0,0.0,SIM,IPH 13 PRO 256GB VERDE,2000.0,Higor Guedes,CELL,1
09/05/2026,2026-05-09,IPHONE 15 PRO MAX 256GB AZUL SEMINOVO,350278026556389,4300.0,25.0,3950.0,325.0,3350.0,0,0,0,950.0,0,4300.0,0.0,SIM,IPHONE 12 NA COR LILAS DE 64 GB,950.0,Raissa,BLOCO B,20
09/05/2026,2026-05-09,IPHONE 15 PRO MAX 512GB AZUL SEMINOVO,356371481303415,4550.0,0.0,4300.0,250.0,3050.0,0,0,0,1500.0,0,4550.0,0.0,SIM,IPH 13 128GB AZUL,1500.0,Guilherme,BLOCO B,20
09/05/2026,2026-05-09,IPHONE 17 PRO MAX 256GB AZUL NOVO,351205742681323,8650.0,0.0,8250.0,400.0,7300.0,0,0,0,5000.0,0,12300.0,-3650.0,SIM,IPH 16 PRO MAX 256GB DESERT,5000.0,Higor Guedes,CELL,1
09/05/2026,2026-05-09,IPHONE 17 PRO MAX 256GB BRANCO NOVO,351205740164702,8650.0,0.0,8350.0,300.0,0,0,0,0,5000.0,0,5000.0,3650.0,SIM,IPH 16 PRO MAX 256GB PRETO,5000.0,Higor Guedes,CELL,1
09/05/2026,2026-05-09,REDMI NOTE 15 256GB PRETO NOVO,862315087076260,1302.0,10.0,1070.0,222.0,0,0,0,0,0,0,0,1302.0,NAO,,0,Yasmin,ONLINE,4
09/05/2026,2026-05-09,IPHONE 16 PRO 256GB PRETO SEMINOVO,357234294533959,4990.0,35.0,4500.0,455.0,2500.0,0,3003.62,0,0,0,5503.62,-513.62,NAO,,0,Guilherme,BLOCO B,20
10/05/2026,2026-05-10,IPHONE 17 256GB AZUL LACRADO,356484794319885,4900.0,0.0,4800.0,100.0,0,0,0,0,0,0,0,4900.0,NAO,,0,Renata,CELL,1
10/05/2026,2026-05-10,IPHONE 16 PRO MAX DESERT 256GB SEMINOVO,358245525252036,5248.0,25.0,5000.0,223.0,2460.0,0,2788.0,0,0,0,5248.0,0.0,NAO,,0,Marcela,ONLINE,4
10/05/2026,2026-05-10,IPHONE 17 PRO MAX 256GB LARANJA LACRADO,353497859462096,8700.0,135.0,8250.0,315.0,0,0,0,0,0,0,0,8700.0,NAO,,0,Renata,CELL,1
10/05/2026,2026-05-10,IPHONE 15 256GB PRETO SEMINOVO - GARANTIA,358388750991421,3400.0,30.0,2900.0,470.0,200.0,0,0,0,200.0,0,400.0,3000.0,SIM,14 PRO (RETORNO),200.0,Marcela,ONLINE,4
10/05/2026,2026-05-10,IPHONE 16 PRO MAX 256GB PRETO SEMINOVO,358594363316795,5500.0,25.0,5000.0,475.0,3500.0,0,0,0,2000.0,0,5500.0,0.0,SIM,IPH 14 128GB AZUL,2000.0,Renan,BLOCO B,20
10/05/2026,2026-05-10,IPHONE 17 PRO MAX 256GB BRANCO NOVO,355988219563654,8600.0,15.0,8350.0,235.0,0,0,11500.0,0,3950.0,0,15450.0,-6850.0,SIM,IPH 15 PRO MAX 256GB BRANCO,3950.0,Renan,BLOCO B,20
10/05/2026,2026-05-10,IPHONE 17 PRO MAX 256GB AZUL NOVO,358434704613065,8500.0,15.0,8250.0,235.0,0,0,0,0,1650.0,0,1650.0,6850.0,SIM,IPH 13 PRO MAX 128GB,1650.0,Renan,BLOCO B,20
10/05/2026,2026-05-10,IPHONE 15 PRO MAX 256GB AZUL SEMINOVO,356371484863977,4150.0,0.0,4050.0,100.0,0,0,0,0,0,0,0,4150.0,NAO,,0,Renan,BLOCO B,20
10/05/2026,2026-05-10,IPHONE 16 PRO 256GB DESERT SEMINOVO,356295601102623,4750.0,0.0,4500.0,250.0,0,0,0,0,0,0,0,4750.0,NAO,,0,Higor Guedes,CELL,1
10/05/2026,2026-05-10,IPHONE 17 256GB PRETO NOVO,355559516499759,5000.0,25.0,4850.0,125.0,0,0,0,0,0,0,0,5000.0,NAO,,0,Higor Guedes,CELL,1
10/05/2026,2026-05-10,NOTE 15 PRO 5G 256GB PRETO NOVO,863573082363500,2077.0,5.0,1750.0,322.0,0,0,0,0,0,0,0,2077.0,NAO,,0,Higor Guedes,CELL,1
10/05/2026,2026-05-10,IPHONE 14 PRO MAX 128GB ROXO SEMINOVO,357773240801309,3350.0,5.0,3150.0,195.0,0,0,0,0,0,0,0,3350.0,NAO,,0,Higor Guedes,CELL,1
10/05/2026,2026-05-10,IPHONE 15 128GB AZUL NOVO,355225773551647,4612.0,10.0,3700.0,902.0,4612.0,0,0,0,0,0,4612.0,0.0,NAO,,0,Higor Guedes,CELL,1
10/05/2026,2026-05-10,IPHONE 17 PRO MAX 256GB AZUL NOVO,358434708446124,8550.0,10.0,8250.0,290.0,6700.0,0,0,0,1850.0,0,8550.0,0.0,SIM,IPH 12 PRO MAX 128GB AZUL,1850.0,Higor Guedes,CELL,1
10/05/2026,2026-05-10,IPHONE 15 PRO 256GB NATURAL SEMINOVO,354078643177411,3697.0,25.0,3180.0,492.0,0,0,4150.0,0,0,0,4150.0,-453.0,NAO,,0,Guilherme,BLOCO B,20
10/05/2026,2026-05-10,IPHONE 17 256GB BRANCO NOVO,350418055419998,5430.0,68.0,4900.0,400.0,0,0,0,0,0,0,0,5430.0,NAO,,0,Bianca,CASES,19
12/05/2026,2026-05-12,POCO C85 256GB LILAS NOVO,864280087011840,1200.0,0.0,850.0,350.0,0,0,0,0,0,0,0,1200.0,NAO,,0,Higor Guedes,CELL,1
12/05/2026,2026-05-12,REALME NOTE 60X 128GB PRETO NOVO,862505072816619,720.0,0.0,615.0,105.0,0,0,765.55,0,0,0,765.55,-45.55,NAO,,0,Ronald,CASES,19
13/05/2026,2026-05-13,IPHONE 17 PRO SILVER SEMINOVO,355500351194584,6900.0,50.0,6350.0,500.0,8850.0,0,0,0,0,0,8850.0,-1950.0,NAO,,0,Ronald,CASES,19
13/05/2026,2026-05-13,APPLE WATCH SE 3 STARLIGHT NOVO,D23PC63DYY,1950.0,0.0,1750.0,200.0,0,0,0,0,0,0,0,1950.0,NAO,,0,Ronald,CASES,19
