orig_linha,data,modelo,imei,valor_venda,brinde,custo,lucro,pix,dinheiro,cartao_credito,cartao_debito,troca_aparelho,soma_pagamentos,diferenca,formas_pgto,tem_troca,modelo_troca,valor_troca,pagto_junto,pagto_junto_grupo,pagto_junto_total,pagto_junto_restante,vendedor,vendedor_id,loja,loja_id,estado,observacao,precisa_revisao,motivo_revisao,entendimento
13,30/06/2026,IPAD 11 128GB SILVER NOVO,HGGXOXCQXF,2952.0,170.0,2650.0,0,2600.0,0,352.0,0,0,2952.0,0.0,pix,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,,NAO,,valor da venda = 2952 | 2600 pix + 352 credito | brinde 170
14,30/06/2026,IPHONE 16 PRO PRETO 256GB SEMINOVO,I358564741281409,4600.0,25.0,4400.0,0,4600.0,0,0,0,0,4600.0,0.0,pix,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,seminovo,,NAO,,valor da venda = 4600 | 4600 pix | brinde 25
15,30/06/2026,REDMI PAD 2 256GB CINZA NOVO,65554/V6QT00717,1410.0,60.0,1230.0,0,0,0,1410.0,0,0,1410.0,0.0,cartao_credito,NAO,,0,NAO,,,,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,novo,,NAO,,valor da venda = 1410 | 1410 credito (visa 1x (taxa 3.9%)) | brinde 60
16,02/07/2026,SAMSUNG TAB A11+ 256GB SILVER NOVO,R5GL10471AN,2000.0,60.0,1690.0,0,2000.0,0,0,0,0,2000.0,0.0,pix,NAO,,0,NAO,,,,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,novo,,NAO,,valor da venda = 2000 | 2000 pix | brinde 60
18,02/07/2026,IPHONE 14 128GB PRETO SEMINOVO,3582504963025,2200.0,0,1900.0,0,1250.0,0,0,0,950.0,2200.0,0.0,pix+troca_aparelho,SIM,IPH 12,950.0,NAO,,,,Rayssa,0dd2c938-c6dd-4f5d-aac5-ed045ee5d2fb,CELL,1,seminovo,,NAO,,valor da venda = 2200 | 1250 pix + 950 troca
19,02/07/2026,FONTE APPLE NOVA,C4H0T/TUIPSQOYQAP,180.0,0,125.0,0,180.0,0,0,0,0,180.0,0.0,pix+pagamento_junto,NAO,,0,SIM,,,,Rayssa,0dd2c938-c6dd-4f5d-aac5-ed045ee5d2fb,CELL,1,seminovo,,NAO,,valor da venda = 180 | 180 pix
20,03/07/2026,IPHONE 16 PRO NATURAL 256GB SEMINOVO,356727493382996,4917.0,15.0,4350.0,0,3067.0,0,0,0,1850.0,4917.0,0.0,pix+troca_aparelho,SIM,IPH 14 256GB BRANCO,1850.0,NAO,,,,Higor Guedes,85e3aa42-b9af-49b8-a72a-64e9c337aa53,CELL,1,seminovo,,NAO,,valor da venda = 4917 | 3067 pix + 1850 troca | brinde 15
21,03/07/2026,IPHONE 15 PRO MAX 256GB BRANCO SEMINOVO,355496932150197,4000.0,0,3800.0,0,4000.0,0,0,0,0,4000.0,0.0,pix,NAO,,0,NAO,,,,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,seminovo,,NAO,,valor da venda = 4000 | 4000 pix
22,03/07/2026,IPHONE 13 256GB ROSA SEMINOVO,35376386292597,2185.0,50.0,1950.0,0,2185.0,0,0,0,0,2185.0,0.0,pix,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,seminovo,,NAO,,valor da venda = 2185 | 2185 pix | brinde 50
23,03/07/2026,IPHONE 17 PRO MAX 256GB PRATA NOVO,35376386292597,7500.0,15.0,7200.0,0,6500.0,0,1000.0,0,0,7500.0,0.0,pix+cartao_credito,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,,NAO,,valor da venda = 7500 | 6500 pix + 1000 credito | brinde 15
24,03/07/2026,IPHONE 17 PRO MAX 256GB LARANJA NOVO,35.342733.015499-6,7358.0,40.0,6900.0,0,700.0,0,0,0,0,700.0,6658.0,pix,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,,SIM,So extraiu: 700 pix de 7358 → falta R$ 6658 sem valor explicito no texto,
25,03/07/2026,IPHONE 17 PRO MAX 256GB LARANJA NOVO,357247257791554,7150.0,15.0,7000.0,0,2800.0,0,0,0,4350.0,7150.0,0.0,pix,SIM,ENTROU UM 16 PRO MAX POR,4350.0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,,NAO,,valor da venda = 7150 | 2800 pix + 4350 troca | brinde 15
26,03/07/2026,REDMI PAD 2 256GB GRAFITE NOVO,65577/W6PT02362,1350.0,5.0,1260.0,0,1350.0,0,0,0,0,1350.0,0.0,pix,NAO,,0,NAO,,,,Renan,a50f1e24-aabb-41c1-b817-b4a4950bb1e4,BLOCO B,20,novo,,NAO,,valor da venda = 1350 | 1350 pix | brinde 5
27,03/07/2026,IPHONE 17 PRO 256GB AZUL NOVO,353621840570382,6749.0,15.0,6500.0,0,4849.0,0,0,0,1900.0,6749.0,0.0,pix+troca_aparelho,SIM,IPH 14 128GB,1900.0,NAO,,,,Guilherme,25e2da5b-9e76-4388-9890-7e22efd6940d,BLOCO B,20,novo,,NAO,,valor da venda = 6749 | 4849 pix + 1900 troca | brinde 15
28,03/07/2026,IPHONE 17 PRO MAX 256GB LARANJA NOVO,353427339123893,7150.0,15.0,7050.0,0,50.0,2500.0,0,0,800.0,3350.0,3800.0,pix+dinheiro,SIM,ENTROU 12 PRO MAX,800.0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,,SIM,So extraiu: 50 pix + 2500 dinheiro + 800 troca de 7150 → falta R$ 3800 sem valor explicito no texto,
29,03/07/2026,IPHONE 17 PRO MAX 256GB LARANJA NOVO,356365569584920,7200.0,5.0,7000.0,0,4700.0,0,0,0,2500.0,7200.0,0.0,pix,SIM,ENTROU 15 SEMINOVO,2500.0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,,NAO,,valor da venda = 7200 | 4700 pix + 2500 troca | brinde 5
30,03/07/2026,IPHONE 17 PRO MAX 256GB AZUL NOVO,355101478951731,7250.0,15.0,7000.0,0,0,0,4521.28,0,0,4521.28,2728.72,outros,NAO,,0,NAO,,,,Guilherme,25e2da5b-9e76-4388-9890-7e22efd6940d,BLOCO B,20,novo,,SIM,So extraiu: 4521.28 credito de 7250 → falta R$ 2729 sem valor explicito no texto,
31,03/07/2026,POCO C85 256GB VERDE NOVO,864280081873302,1150.0,0,950.0,0,1150.0,0,0,0,0,1150.0,0.0,pix,NAO,,0,NAO,,,,Ruyter,85743f3e-1b32-49c0-9d9e-c16afd690f7d,CASES,19,novo,,NAO,,valor da venda = 1150 | 1150 pix
32,03/07/2026,IPHONE 15 PRO MAX 256GB NATURAL SEMINOVO,351661829286834,4000.0,0,3800.0,0,2600.0,0,0,0,1400.0,4000.0,0.0,pix+troca_aparelho,SIM,IPH 14 PLUS PRETO,1400.0,NAO,,,,Ruyter,85743f3e-1b32-49c0-9d9e-c16afd690f7d,CASES,19,seminovo,,NAO,,valor da venda = 4000 | 2600 pix + 1400 troca
34,04/07/2026,IPHONE XR 64GB BRANCO SEMINOVO,353056102938326,700.0,10.0,500.0,0,700.0,0,0,0,0,700.0,0.0,pix+pagamento_junto,NAO,,0,SIM,2,2930.0,0,Renan,a50f1e24-aabb-41c1-b817-b4a4950bb1e4,BLOCO B,20,seminovo,"Pagto junto (Aparelho 1/3, total grupo R$ 2,930)",NAO,,grupo 2 (34 e 35 e 36): valor da venda = 700 | 700 pix = 700 | grupo R$ 2930
35,04/07/2026,IPHONE XR 64GB PRETO SEMINOVO,352887117702625,750.0,10.0,500.0,0,750.0,0,0,0,0,750.0,0.0,pagamento_junto,NAO,,0,SIM,2,2930.0,0,Renan,a50f1e24-aabb-41c1-b817-b4a4950bb1e4,BLOCO B,20,seminovo,"Pagto junto (Aparelho 2/3, total grupo R$ 2,930)",NAO,,grupo 2 (34 e 35 e 36): valor da venda = 750 | 750 pix = 750 | grupo R$ 2930
36,04/07/2026,IPHONE 12 128GB LILAS SEMINOVO,351166892891288,1480.0,10.0,1280.0,0,1480.0,0,0,0,0,1480.0,0.0,pagamento_junto,NAO,,0,SIM,2,2930.0,0,Renan,a50f1e24-aabb-41c1-b817-b4a4950bb1e4,BLOCO B,20,seminovo,"Pagto junto (Aparelho 3/3, total grupo R$ 2,930)",NAO,,grupo 2 (34 e 35 e 36): valor da venda = 1480 | 1480 pix = 1480 | grupo R$ 2930
37,04/07/2026,IPHONE 17 PRO MAX 256GB SILVER NOVO,359178378004163,7600.0,15.0,7200.0,0,3000.0,0,0,0,4600.0,7600.0,0.0,pix,SIM,PAGOU; ENTROU UM 14 PRO MAX,4600.0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,,NAO,,valor da venda = 7600 | 3000 pix + 4600 troca | brinde 15
38,04/07/2026,IPAD 11 128GB SILVER NOVO,D4FWC6ND77,3000.0,0,2800.0,0,0,0,3000.0,0,0,3000.0,0.0,outros,NAO,,0,NAO,,,,Guilherme,25e2da5b-9e76-4388-9890-7e22efd6940d,BLOCO B,20,novo,,NAO,,valor da venda = 3000 | 3000 credito (visa 10x (taxa 10.9%))
39,04/07/2026,IPHONE 16 PRO MAX 1TB NATURAL SEMINOVO,355300187621094,5600.0,20.0,5200.0,0,5600.0,0,0,0,0,5600.0,0.0,pix,NAO,,0,NAO,,,,Angel,97f12885-87ad-426a-8bbb-656889d82e10,BLOCO B,20,seminovo,Vendedor Angel - pendente ID real,SIM,Vendedor Angel - pendente ID real,valor da venda = 5600 | 5600 pix | brinde 20
40,04/07/2026,IPHONE 17 PRO MAX 256GB SILVER NOVO,359178376345576,7400.0,15.0,7200.0,0,250.0,0,0,0,7150.0,7400.0,0.0,pix+pagamento_junto,SIM,ENTROU 15 PRO SEMINOVO; ENTROU 16 PRO SEMINOVO,7150.0,SIM,3,12553.0,0,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,"Pagto junto (Aparelho 1/2, total grupo R$ 12,553)",NAO,,grupo 3 (40 e 41): valor da venda = 7400 | 250 pix + 7150 troca = 7400 | grupo R$ 12553
41,04/07/2026,IPHONE 16 PRO MAX DESERT 256GB SEMINOVO,356339497996019,5153.0,15.0,4800.0,0,5153.0,0,0,0,0,5153.0,0.0,pagamento_junto,NAO,,0,SIM,3,12553.0,0,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,seminovo,"Pagto junto (Aparelho 2/2, total grupo R$ 12,553)",NAO,,grupo 3 (40 e 41): valor da venda = 5153 | 5153 pix = 5153 | grupo R$ 12553
42,04/07/2026,IPHONE 17 PRO 256GB SILVER NOVO,359917390759761,6950.0,20.0,6600.0,0,6400.0,0,0,0,550.0,6950.0,0.0,pix+troca_aparelho,SIM,IPH 11 64GB,550.0,NAO,,,,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,novo,,NAO,,valor da venda = 6950 | 6400 pix + 550 troca | brinde 20
43,04/07/2026,IPHONE 14 128GB PRETO SEMINOVO,352665538717386,2000.0,0,1900.0,0,2000.0,0,0,0,0,2000.0,0.0,pix+pagamento_junto,NAO,,0,SIM,4,4000.0,0,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,seminovo,"Pagto junto (Aparelho 1/2, total grupo R$ 4,000)",NAO,,grupo 4 (43 e 44): valor da venda = 2000 | 2000 pix = 2000 | grupo R$ 4000
44,04/07/2026,IPHONE 14 128GB AZUL SEMINOVO,358821547386883,2000.0,0,1900.0,0,2000.0,0,0,0,0,2000.0,0.0,pagamento_junto,NAO,,0,SIM,4,4000.0,0,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,seminovo,"Pagto junto (Aparelho 2/2, total grupo R$ 4,000)",NAO,,grupo 4 (43 e 44): valor da venda = 2000 | 2000 pix = 2000 | grupo R$ 4000
45,04/07/2026,IPHONE 17 PRO 256GB SILVER LACRADO,26290620227000,7000.0,15.0,6750.0,0,3900.0,0,0,0,3100.0,7000.0,0.0,pix+troca_aparelho,SIM,IPH 15 PRO 128GB,3100.0,NAO,,,,Rayssa,0dd2c938-c6dd-4f5d-aac5-ed045ee5d2fb,CELL,1,novo,,NAO,,valor da venda = 7000 | 3900 pix + 3100 troca | brinde 15
46,04/07/2026,IPHONE 17 256GB BRANCO LACRADO,356146774764865,5385.0,10.0,5250.0,0,5385.0,0,0,0,0,5385.0,0.0,pix,NAO,,0,NAO,,,,Rayssa,0dd2c938-c6dd-4f5d-aac5-ed045ee5d2fb,CELL,1,novo,,NAO,,valor da venda = 5385 | 5385 pix | brinde 10
47,04/07/2026,IPHONE 17 PRO MAX 256GB AZUL SEMINOVO,35362930348882664,4000.0,15.0,3800.0,0,2300.0,0,0,0,1700.0,4000.0,0.0,pix+troca_aparelho,SIM,IPH 12 PRO MAX,1700.0,NAO,,,,Rayssa,0dd2c938-c6dd-4f5d-aac5-ed045ee5d2fb,CELL,1,seminovo,,NAO,,valor da venda = 4000 | 2300 pix + 1700 troca | brinde 15
48,04/07/2026,IPHONE 17 PRO MAX 26GB SILVER LACRADO,359178377231601,7450.0,15.0,7200.0,0,4050.0,0,0,0,3400.0,7450.0,0.0,pix+troca_aparelho,SIM,IPH 16 128GB ROSA,3400.0,NAO,,,,Rayssa,0dd2c938-c6dd-4f5d-aac5-ed045ee5d2fb,CELL,1,novo,,NAO,,valor da venda = 7450 | 4050 pix + 3400 troca | brinde 15
49,04/07/2026,IPHONE 13 PRETO 256GB SEMINOVO,347415876585729,2050.0,0,1900.0,0,2050.0,0,0,0,0,2050.0,0.0,pix,NAO,,0,NAO,,,,Camila,1d12d555-68e9-45f8-bfc0-a35a1d8d7920,CELL,1,seminovo,,NAO,,valor da venda = 2050 | 2050 pix
50,04/07/2026,AIR PODS 4 LACRADO,GG23124FQM,700.0,0,750.0,0,700.0,0,0,0,0,700.0,0.0,pix,NAO,,0,NAO,,,,Camila,1d12d555-68e9-45f8-bfc0-a35a1d8d7920,CELL,1,novo,,NAO,,valor da venda = 700 | 700 pix
51,04/07/2026,IPHONE 15 128GB ROSA SEMINOVO,358178374964288,2800.0,0,1650.0,0,2800.0,0,0,0,0,2800.0,0.0,pix,NAO,,0,NAO,,,,Ruyter,85743f3e-1b32-49c0-9d9e-c16afd690f7d,CASES,19,seminovo,,NAO,,valor da venda = 2800 | 2800 pix
52,04/07/2026,IPHONE 16 PRO MAX 1TB NATURAL SEMINOVO,353393818708804,5613.0,25.0,5200.0,0,3113.0,0,0,0,2500.0,5613.0,0.0,pix+troca_aparelho+pagamento_junto,SIM,IPH 13 PM,2500.0,SIM,5,10113.0,0,Renan,a50f1e24-aabb-41c1-b817-b4a4950bb1e4,BLOCO B,20,seminovo,"Pagto junto (Aparelho 1/2, total grupo R$ 10,113)",NAO,,grupo 5 (52 e 53): valor da venda = 5613 | 3113 pix + 2500 troca = 5613 | grupo R$ 10113
53,04/07/2026,IPHONE 16 PRO 128GB DESERT SEMINOVO,355588181178950,4500.0,25.0,4050.0,0,2000.0,0,0,0,2500.0,4500.0,0.0,troca_aparelho+pagamento_junto,SIM,IPH 14 PRO,2500.0,SIM,5,10113.0,0,Renan,a50f1e24-aabb-41c1-b817-b4a4950bb1e4,BLOCO B,20,seminovo,"Pagto junto (Aparelho 2/2, total grupo R$ 10,113)",NAO,,grupo 5 (52 e 53): valor da venda = 4500 | 2000 pix + 2500 troca = 4500 | grupo R$ 10113
54,04/07/2026,IPHONE 16 128GB BRANCO NOVO,359482938606776,4300.0,5.0,4100.0,0,1150.0,0,2000.0,0,1150.0,4300.0,0.0,pix+cartao_credito+troca_aparelho,SIM,IPH 12 128GB,1150.0,NAO,,,,Ruyter,85743f3e-1b32-49c0-9d9e-c16afd690f7d,CASES,19,novo,,NAO,,valor da venda = 4300 | 1150 pix + 2000 credito + 1150 troca | brinde 5
55,04/07/2026,IPHONE 15 PRO 128GB AZUL SEMINOVO,35819754164460,3400.0,15.0,3200.0,0,3400.0,0,0,0,0,3400.0,0.0,pix,NAO,,0,NAO,,,,Higor Guedes,85e3aa42-b9af-49b8-a72a-64e9c337aa53,CELL,1,seminovo,,NAO,,valor da venda = 3400 | 3400 pix | brinde 15
56,04/07/2026,IPHONE 15 128GB PRETO SEMINOVO,355377265300213,2872.0,15.0,2650.0,0,2872.0,0,0,0,0,2872.0,0.0,pix,NAO,,0,NAO,,,,Higor Guedes,85e3aa42-b9af-49b8-a72a-64e9c337aa53,CELL,1,seminovo,,NAO,,valor da venda = 2872 | 2872 pix | brinde 15
57,04/07/2026,IPHONE 11 64GB BRANCO SEMINOVO,35.898187.748477-3,950.0,0,600.0,0,1400.0,0,0,0,0,1400.0,-450.0,pix,NAO,,0,NAO,,,,Renata,9451cd9f-6770-4e32-aae8-c75fa675e818,CELL,1,seminovo,,SIM,Extracao excede venda em R$ 450: extraiu 1400 pix = 1400 > venda 950 → texto descreve pagamento de outros itens,
58,05/07/2026,IPHONE 17 PRO MAX 256GB AZUL NOVO,351205748842390,7150.0,0,7000.0,0,7150.0,0,0,0,0,7150.0,0.0,pix,NAO,,0,NAO,,,,Renan,a50f1e24-aabb-41c1-b817-b4a4950bb1e4,BLOCO B,20,novo,,NAO,,valor da venda = 7150 | 7150 pix
59,05/07/2026,IPHONE 14 PRO 256GB ROXO NOVO,355563340415599,3250.0,25.0,2900.0,0,0,0,3250.0,0,0,3250.0,0.0,outros,NAO,,0,NAO,,,,Guilherme,25e2da5b-9e76-4388-9890-7e22efd6940d,BLOCO B,20,novo,,NAO,,valor da venda = 3250 | 3250 credito (visa 10x (taxa 10.9%)) | brinde 25
60,05/07/2026,IPHONE 14 PLUS 128GB BRANCO NOVO,352820548986269,2600.0,25.0,2150.0,0,0,0,2600.0,0,0,2600.0,0.0,outros,NAO,,0,NAO,,,,Guilherme,25e2da5b-9e76-4388-9890-7e22efd6940d,BLOCO B,20,novo,,NAO,,valor da venda = 2600 | 2600 credito (visa 10x (taxa 10.9%)) | brinde 25
61,05/07/2026,IPHONE 17 PRO 256GB SILVER NOVO,352574675504235,7028.0,20.0,6750.0,0,0,0,2628.0,0,4400.0,7028.0,0.0,cartao_credito+troca_aparelho,SIM,IPH 16 PRO 256GB DESERT,4400.0,NAO,,,,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,novo,,NAO,,valor da venda = 7028 | 2628 credito (visa 10x (taxa 10.9%)) + 4400 troca | brinde 20
62,05/07/2026,IPHONE 17 PRO MAX 256GB SILVER NOVO,351668149691346,7449.0,20.0,7200.0,0,5749.0,0,0,0,1700.0,7449.0,0.0,pix+troca_aparelho,SIM,IPH 14 128GB BRANCO,1700.0,NAO,,,,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,novo,,NAO,,valor da venda = 7449 | 5749 pix + 1700 troca | brinde 20
63,05/07/2026,IPHONE 14 PRO 256GB PRETO SEMINOVO,353429715641746,3100.0,20.0,2900.0,0,3100.0,0,0,0,0,3100.0,0.0,pix,NAO,,0,NAO,,,,,97f12885-87ad-426a-8bbb-656889d82e10,CELL,1,seminovo,,NAO,,valor da venda = 3100 | 3100 pix | brinde 20
64,05/07/2026,IPHONE 17 PRO MAX 256GB LARANJA LACRADO,350230979597357,7162.0,10.0,7050.0,0,7162.0,0,0,0,0,7162.0,0.0,pix,NAO,,0,NAO,,,,Rayssa,0dd2c938-c6dd-4f5d-aac5-ed045ee5d2fb,CELL,1,novo,,NAO,,valor da venda = 7162 | 7162 pix | brinde 10
65,05/07/2026,IPHONE 13 PRO MAX 128GB DOURADO SEMINOVO,35861241621265,2650.0,20.0,150.0,0,2650.0,0,0,0,0,2650.0,0.0,pix,NAO,,0,NAO,,,,Rayssa,0dd2c938-c6dd-4f5d-aac5-ed045ee5d2fb,CELL,1,seminovo,,NAO,,valor da venda = 2650 | 2650 pix | brinde 20
66,07/07/2026,IPHONE 17 PRO MAX 256GB SILVER NOVO,359178375370369,7300.0,0,7200.0,0,7300.0,0,0,0,0,7300.0,0.0,pix,NAO,,0,NAO,,,,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,novo,,NAO,,valor da venda = 7300 | 7300 pix
67,07/07/2026,IPHONE 16 PRO MAX 256GB NATURAL SEMINOVO,354661670984062,5000.0,25.0,4800.0,0,5000.0,0,0,0,0,5000.0,0.0,pix,NAO,,0,NAO,,,,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,seminovo,,NAO,,valor da venda = 5000 | 5000 pix | brinde 25
68,07/07/2026,IPHONE 17 PRO MAX 512GB SILVER NOVO,353427334423694,9100.0,0,9000.0,0,7100.0,2000.0,0,0,0,9100.0,0.0,pix+dinheiro,NAO,,0,NAO,,,,Renan,a50f1e24-aabb-41c1-b817-b4a4950bb1e4,BLOCO B,20,novo,,NAO,,valor da venda = 9100 | 7100 pix + 2000 dinheiro
70,07/07/2026,IPHONE 17 PRO MAX 256GB LARANJA NOVO,358159684462304,7380.0,15.0,7040.0,0,1000.0,0,0,0,0,1000.0,6380.0,pix,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,,SIM,So extraiu: 1000 pix de 7380 → falta R$ 6380 sem valor explicito no texto,
