orig_linha,data,modelo,imei,valor_venda,brinde,custo,lucro,pix,dinheiro,cartao_credito,cartao_debito,troca_aparelho,soma_pagamentos,diferenca,formas_pgto,tem_troca,modelo_troca,valor_troca,pagto_junto,pagto_junto_grupo,pagto_junto_total,pagto_junto_restante,vendedor,vendedor_id,loja,loja_id,estado,observacao,precisa_revisao,motivo_revisao,entendimento
12,04/06/2026,POCO X8 PRO 512GB PRETO NOVO,V865532083172607,2500.0,0,2300.0,200.0,1000.0,0,1500.0,0,0,2500.0,0.0,pix+cartao_credito,NAO,,0,NAO,,,,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,novo,,NAO,,valor da venda = 2500 | 1000 pix + 1500 credito (visa 6x (taxa 8.0%))
13,04/06/2026,IPHONE 17 PRO MAX 256GB AZUL NOVO,359652120809905,7467.0,30.0,7230.0,207.0,0,0,5367.0,0,2100.0,7467.0,0.0,cartao_credito+troca_aparelho,SIM,IPH 13 PRO MAX,2100.0,NAO,,,,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,novo,,NAO,,valor da venda = 7467 | 5367 credito (elo 3x (taxa 7.0%)) + 2100 troca | brinde 30
14,04/06/2026,IPHONE 13 PRO 256GB GOLD SEMINOVO,356133317489721,2806.0,25.0,2300.0,481.0,2806.0,0,0,0,0,2806.0,0.0,pix,NAO,,0,NAO,,,,Higor Guedes,85e3aa42-b9af-49b8-a72a-64e9c337aa53,CELL,1,seminovo,,NAO,,valor da venda = 2806 | 2806 pix | brinde 25
15,04/06/2026,APPLE WATCH SERIES 8 STARLHIG SEMINOVO,LVVK104JHQ,1100.0,0,750.0,350.0,0,1100.0,0,0,0,1100.0,0.0,dinheiro,NAO,,0,NAO,,,,Higor Guedes,85e3aa42-b9af-49b8-a72a-64e9c337aa53,CELL,1,seminovo,,NAO,,valor da venda = 1100 | 1100 dinheiro
16,04/06/2026,IPHONE 15 128GB PRETO NOVO,355225777788922,3836.0,0,3600.0,236.0,3286.0,0,0,0,0,3286.0,550.0,pix,NAO,,0,NAO,,,,Higor Guedes,85e3aa42-b9af-49b8-a72a-64e9c337aa53,CELL,1,novo,,SIM,So extraiu: 3286 pix de 3836 → falta R$ 550 sem valor explicito no texto,
17,04/06/2026,IPHONE 16 PRO 128GB PRETO SEMINOVO,,5000.0,25.0,4500.0,475.0,1550.0,0,0,0,3450.0,5000.0,0.0,pix+troca_aparelho,SIM,IPH 16 AZUL 128GB,3450.0,NAO,,,,Higor Guedes,85e3aa42-b9af-49b8-a72a-64e9c337aa53,CELL,1,seminovo,Sem IMEI,SIM,Sem IMEI,valor da venda = 5000 | 1550 pix + 3450 troca | brinde 25
18,04/06/2026,IPHONE 12 PRO MAX 128GB AZUL SEMINOVO,357014741019624,2300.0,25.0,2000.0,275.0,0,1300.0,0,0,0,1300.0,1000.0,dinheiro,NAO,,0,NAO,,,,Guilherme,25e2da5b-9e76-4388-9890-7e22efd6940d,BLOCO B,20,seminovo,,SIM,So extraiu: 1300 dinheiro de 2300 → falta R$ 1000 sem valor explicito no texto,
19,05/06/2026,IPHONE 15 PRO MAX 256GB SEMINOVO,351503400050470,3950.0,25.0,3700.0,225.0,3950.0,0,0,0,0,3950.0,0.0,pix,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,seminovo,,NAO,,valor da venda = 3950 | 3950 pix | brinde 25
20,05/06/2026,MacBook Air m5 midnight 16/512 NOVO,/DFD4FJ0J2Q,6930.0,60.0,6700.0,170.0,6930.0,0,0,0,0,6930.0,0.0,pix,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,,NAO,,valor da venda = 6930 | 6930 pix | brinde 60
21,05/06/2026,POCO C85 PRETO 256GB NOVO,864280082529028,1010.0,0,880.0,130.0,1010.0,0,0,0,0,1010.0,0.0,pix,NAO,,0,NAO,,,,Renan,a50f1e24-aabb-41c1-b817-b4a4950bb1e4,BLOCO B,20,novo,,NAO,,valor da venda = 1010 | 1010 pix
22,05/06/2026,IPHONE 15 128GB PRETO NOVO,359867882327710,3700.0,0,3600.0,100.0,3700.0,0,0,0,0,3700.0,0.0,pix+pagamento_junto,NAO,,0,SIM,2,7400.0,0,Renan,a50f1e24-aabb-41c1-b817-b4a4950bb1e4,BLOCO B,20,novo,"Pagto junto (Aparelho 1/2, total grupo R$ 7,400)",NAO,,grupo 2 (22 e 23): valor da venda = 3700 | 3700 pix = 3700 | grupo R$ 7400
23,05/06/2026,IPHONE 15 128GB PRETO NOVO,351713518508703,3700.0,0,3600.0,100.0,3700.0,0,0,0,0,3700.0,0.0,pagamento_junto,NAO,,0,SIM,2,7400.0,0,Renan,a50f1e24-aabb-41c1-b817-b4a4950bb1e4,BLOCO B,20,novo,"Pagto junto (Aparelho 2/2, total grupo R$ 7,400)",NAO,,grupo 2 (22 e 23): valor da venda = 3700 | 3700 pix = 3700 | grupo R$ 7400
24,05/06/2026,MACBOOK NEO ROSA 256GB NOVO,K76LHCP7F,4551.0,30.0,4350.0,171.0,0,0,4551.0,0,0,4551.0,0.0,outros,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,BLOCO B,20,novo,,NAO,,valor da venda = 4551 | 4551 credito | brinde 30
25,05/06/2026,IPHONE 14 128GB PRETO SEMINOVO,355123373512780,2070.0,20.0,1900.0,100.0,580.0,0,1490.0,0,0,2070.0,0.0,pix,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,seminovo,,NAO,,valor da venda = 2070 | 580 pix + 1490 credito | brinde 20
26,05/06/2026,REDMI NOTE 15 4G 256GB AZUL NOVO,862315083031764,1211.0,0,1150.0,61.0,100.0,0,1111.0,0,0,1211.0,0.0,pix,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,,NAO,,valor da venda = 1211 | 100 pix + 1111 credito
27,05/06/2026,JBL BOOMBOX 3 PRETA NOVO,JBLB00MB0X3BLKBR,1860.0,0,1780.0,80.0,1860.0,0,0,0,0,1860.0,0.0,pix,NAO,,0,NAO,,,,Renan,a50f1e24-aabb-41c1-b817-b4a4950bb1e4,BLOCO B,20,novo,,NAO,,valor da venda = 1860 | 1860 pix
28,05/06/2026,IPHONE 15 128GB PRETO NOVO,355225779424203,3750.0,5.0,3600.0,145.0,3750.0,0,0,0,0,3750.0,0.0,pix,NAO,,0,NAO,,,,Renan,a50f1e24-aabb-41c1-b817-b4a4950bb1e4,BLOCO B,20,novo,,NAO,,valor da venda = 3750 | 3750 pix | brinde 5
29,05/06/2026,IPHONE 14 PRO 256GB BRANCO SEMINOVO,54001278899018,3325.0,25.0,2900.0,400.0,0,0,3325.0,0,0,3325.0,0.0,pix+cartao_credito+pagamento_junto,NAO,,0,SIM,3,6710.0,0,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,seminovo,"Pagto junto (Aparelho 1/2, total grupo R$ 6,710)",NAO,,grupo 3 (29 e 30): valor da venda = 3325 | 3325 credito = 3325 | grupo R$ 6710
30,05/06/2026,IPHONE 14 PRO MAX 128GB PRETO SEMINOVO,351548866512357,3385.0,25.0,3150.0,210.0,0,0,3385.0,0,0,3385.0,0.0,pagamento_junto,NAO,,0,SIM,3,6710.0,0,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,seminovo,"Pagto junto (Aparelho 2/2, total grupo R$ 6,710)",NAO,,grupo 3 (29 e 30): valor da venda = 3385 | 3385 credito = 3385 | grupo R$ 6710
31,05/06/2026,REDMI PAD 2 256GB CINZA NOVO,65577/W6PT04947,1500.0,48.0,1240.0,212.0,0,0,1500.0,0,0,1500.0,0.0,cartao_credito,NAO,,0,NAO,,,,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,novo,,NAO,,valor da venda = 1500 | 1500 credito (visa 6x (taxa 8.0%)) | brinde 48
32,05/06/2026,IPHONE 14 128GB PRETO SEMINOVO,351592243452233,2100.0,10.0,1900.0,190.0,1650.0,50.0,0,0,400.0,2100.0,0.0,pix+dinheiro+troca_aparelho,SIM,IPH XR 64GB PRETO,400.0,NAO,,,,Higor Guedes,85e3aa42-b9af-49b8-a72a-64e9c337aa53,CELL,1,seminovo,,NAO,,valor da venda = 2100 | 1650 pix + 50 dinheiro + 400 troca | brinde 10
33,05/06/2026,IPHONE 17 256GB BRANCO NOVO,,4980.0,135.0,2600.0,245.0,4380.0,0,0,0,600.0,4980.0,0.0,pix+troca_aparelho,SIM,IPH 128GB PRETO,600.0,NAO,,,,Higor Guedes,85e3aa42-b9af-49b8-a72a-64e9c337aa53,CELL,1,novo,Sem IMEI,SIM,Sem IMEI,valor da venda = 4980 | 4380 pix + 600 troca | brinde 135
34,06/06/2026,IPHONE 17 256GB AZUL NOVO,352824462371275,4750.0,45.0,4500.0,205.0,4750.0,0,0,0,0,4750.0,0.0,pix,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,,NAO,,valor da venda = 4750 | 4750 pix | brinde 45
35,06/06/2026,IPAD 11° (A16) 128GB SILVER NOVO,DMY20XLJ95,2599.0,120.0,2250.0,229.0,2599.0,0,0,0,0,2599.0,0.0,outros,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,,NAO,,valor da venda = 2599 | 2599 pix | brinde 120
36,06/06/2026,IPHONE 15 PRO MAX 256GB PRETO SEMINOVO,352033763715583,3910.0,25.0,3700.0,185.0,30.0,0,0,3880.0,0,3910.0,0.0,pix+cartao_debito,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,seminovo,,NAO,,valor da venda = 3910 | 30 pix + 3880 debito | brinde 25
37,06/06/2026,IPAD 11° (A16) 128GB SILVER NOVO,DV71MXVDQ7,2542.0,110.0,2200.0,232.0,0,0,2542.0,0,0,2542.0,0.0,outros,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,,NAO,,valor da venda = 2542 | 2542 credito | brinde 110
38,06/06/2026,IPAD 11° (A16) 128GB AZUL NOVO,JTPYCFFWY4,2450.0,110.0,2200.0,140.0,2450.0,0,0,0,0,2450.0,0.0,pix,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,,NAO,,valor da venda = 2450 | 2450 pix | brinde 110
39,06/06/2026,IPHONE 15 PRO MAX 256GB PRETO SEMINOVO,352229491749619,3950.0,10.0,3700.0,240.0,1900.0,2050.0,0,0,0,3950.0,0.0,pix+dinheiro,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,seminovo,,NAO,,valor da venda = 3950 | 1900 pix + 2050 dinheiro | brinde 10
40,06/06/2026,IPHONE 17 256GB BRANCO NOVO,359973613777577,4820.0,5.0,4600.0,215.0,0,0,4220.0,0,0,4220.0,600.0,outros,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,,SIM,So extraiu: 4220 credito de 4820 → falta R$ 600 sem valor explicito no texto,
41,06/06/2026,IPAD 11° (A16) 128GB AZUL NOVO,FP424P4PXH,2471.0,130.0,2250.0,101.0,1100.0,0,1371.0,0,0,2471.0,0.0,pix,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,,NAO,,valor da venda = 2471 | 1100 pix + 1371 credito | brinde 130
42,06/06/2026,IPHONE 14 PLUS 128GB LILAS NOVO,351906511449970,3570.0,5.0,3450.0,115.0,3570.0,0,0,0,0,3570.0,0.0,pix,NAO,,0,NAO,,,,Renan,a50f1e24-aabb-41c1-b817-b4a4950bb1e4,BLOCO B,20,novo,,NAO,,valor da venda = 3570 | 3570 pix | brinde 5
43,06/06/2026,IPHONE 13 256GB BRANCO SEMINOVO,353640981930528,2325.0,25.0,1900.0,400.0,1300.0,0,1025.0,0,0,2325.0,0.0,pix+cartao_credito,NAO,,0,NAO,,,,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,seminovo,,NAO,,valor da venda = 2325 | 1300 pix + 1025 credito (visa 3x (taxa 6.0%)) | brinde 25
44,06/06/2026,IPHONE 17 PRO 256GB SILVER NOVO,352574676009796,7325.0,20.0,7000.0,305.0,0,0,6513.08,0,0,6513.08,811.92,cartao_credito,NAO,,0,NAO,,,,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,novo,,SIM,So extraiu: 6513.08 credito de 7325 → falta R$ 812 sem valor explicito no texto,
45,06/06/2026,IPHONE 13 128GB BRANCO SEMINOVO,350264528248328,1910.0,10.0,1750.0,0,0,0,334.59,0,0,334.59,1575.41,cartao_credito+troca_aparelho+garantia,NAO,,0,NAO,,,,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,seminovo,,SIM,So extraiu: 334.59 credito de 1910 → falta R$ 1575 sem valor explicito no texto,
46,06/06/2026,REDMI 15C 256GB AZUL NOVO,866509086604223,880.0,0,840.0,0,0,0,72.8,0,0,72.8,807.2,cartao_credito+garantia,NAO,,0,NAO,,,,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,novo,,SIM,So extraiu: 72.80 credito de 880 → falta R$ 807 sem valor explicito no texto,
47,06/06/2026,IPHONE 17 PRO 256GB BRANCO SEMINOVO,,7065.0,10.0,6300.0,0,2565.0,0,0,0,4500.0,7065.0,0.0,pix+troca_aparelho,SIM,IPH 15 128GB; IPH 14 LILAS 128GB,4500.0,NAO,,,,Higor Guedes,85e3aa42-b9af-49b8-a72a-64e9c337aa53,CELL,1,seminovo,Sem IMEI,SIM,Sem IMEI,valor da venda = 7065 | 2565 pix + 4500 troca | brinde 10
48,06/06/2026,IPHONE 13 256GB ROSA SEMINOVO,356815609092334,2116.0,10.0,1900.0,206.0,2116.0,0,0,0,0,2116.0,0.0,pix,NAO,,0,NAO,,,,Higor Guedes,85e3aa42-b9af-49b8-a72a-64e9c337aa53,CELL,1,seminovo,,NAO,,valor da venda = 2116 | 2116 pix | brinde 10
49,06/06/2026,IPHONE 15 128GB AZUL SEMINOVO,351682570296095,2910.0,25.0,2660.0,225.0,1700.0,860.0,0,0,0,2560.0,350.0,pix+dinheiro,NAO,,0,NAO,,,,Guilherme,25e2da5b-9e76-4388-9890-7e22efd6940d,BLOCO B,20,seminovo,,SIM,So extraiu: 1700 pix + 860 dinheiro de 2910 → falta R$ 350 sem valor explicito no texto,
50,07/06/2026,IPHONE 14 PRO MAX 512GB ROXO SEMINOVO,356041402342004,3800.0,15.0,3500.0,285.0,3800.0,0,0,0,0,3800.0,0.0,pix,NAO,,0,NAO,,,,Angel,97f12885-87ad-426a-8bbb-656889d82e10,BLOCO B,20,seminovo,Vendedor Angel - pendente ID real,SIM,Vendedor Angel - pendente ID real,valor da venda = 3800 | 3800 pix | brinde 15
51,07/06/2026,IPHONE 13 256GB ROSA SEMINOVO,352615457839263,2100.0,15.0,1900.0,185.0,2100.0,0,0,0,0,2100.0,0.0,pix,NAO,,0,NAO,,,,Angel,97f12885-87ad-426a-8bbb-656889d82e10,BLOCO B,20,seminovo,Vendedor Angel - pendente ID real,SIM,Vendedor Angel - pendente ID real,valor da venda = 2100 | 2100 pix | brinde 15
52,07/06/2026,IPHONE 17 256GB BRANCO NOVO,353111887936779,4705.0,10.0,4690.0,10.0,4705.0,0,0,0,0,4705.0,0.0,pix,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,,NAO,,valor da venda = 4705 | 4705 pix | brinde 10
53,07/06/2026,APPLE WATCH ULTRA 3 49MM PRETO NOVO,353938647328032,5750.0,15.0,4670.0,1065.0,0,0,5750.0,0,0,5750.0,0.0,outros,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,,NAO,,valor da venda = 5750 | 5750 credito | brinde 15
54,07/06/2026,BOOMBOX 4 LARANJA NOVA/SEMINOVA,TL1973-BQ009163,2500.0,0,2390.0,110.0,1500.0,1000.0,0,0,0,2500.0,0.0,pix+dinheiro,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,seminovo,,NAO,,valor da venda = 2500 | 1500 pix + 1000 dinheiro
55,07/06/2026,IPHONE 15 PRO MAX 256GB PRETO SEMINOVO,352832408625648,4050.0,41.0,3700.0,309.0,2000.0,0,2050.0,0,0,4050.0,0.0,pix+cartao_credito,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,seminovo,,NAO,,valor da venda = 4050 | 2000 pix + 2050 credito (visa 11x (taxa 11.3%)) | brinde 41
56,07/06/2026,IPHONE 17 256GB PRETO NOVO,358736464505640,4750.0,0,4650.0,100.0,4750.0,0,0,0,0,4750.0,0.0,pix,NAO,,0,NAO,,,,Renan,a50f1e24-aabb-41c1-b817-b4a4950bb1e4,BLOCO B,20,novo,,NAO,,valor da venda = 4750 | 4750 pix
57,07/06/2026,POCO X8 PRO MAX 512GB AZUL NOVO,74909/F6QV01625,3100.0,0,2950.0,150.0,3100.0,0,0,0,0,3100.0,0.0,pix,NAO,,0,NAO,,,,Renan,a50f1e24-aabb-41c1-b817-b4a4950bb1e4,BLOCO B,20,novo,,NAO,,valor da venda = 3100 | 3100 pix
58,07/06/2026,IPHONE 15 128GB AZUL SEMINOVO,35986788108129,3973.0,15.0,3700.0,258.0,0,0,0,0,1300.0,1300.0,2673.0,outros,SIM,ENTROU UM 13 128 SEMINOVO POR,1300.0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,seminovo,,SIM,So extraiu: 1300 troca de 3973 → falta R$ 2673 sem valor explicito no texto,
59,07/06/2026,IPHONE 12 64GB LILAS SEMINOVO,358187610315940,1350.0,25.0,1150.0,175.0,0,0,1350.0,0,0,1350.0,0.0,outros,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,seminovo,,NAO,,valor da venda = 1350 | 1350 credito | brinde 25
60,07/06/2026,IPHONE 15 PRO MAX 256GB PRETO SEMINOVO,350496304995505,4050.0,25.0,3700.0,325.0,0,0,2950.0,0,1100.0,4050.0,0.0,outros,SIM,ENTROU UM 14 PRO 128 SEMINOVO POR,1100.0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,seminovo,,NAO,,valor da venda = 4050 | 2950 credito + 1100 troca | brinde 25
61,07/06/2026,IPHONE 14 PRO 128GB ROXO SEMINOVO,3501800048255,1650.0,0,1100.0,550.0,1650.0,0,0,0,0,1650.0,0.0,pix,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,seminovo,,NAO,,valor da venda = 1650 | 1650 pix
62,07/06/2026,IPAD 11° (A16) 128GB SILVER NOVO,DHYGFK76Q2,2453.35,100.0,2250.0,175.0,2453.35,0,0,0,0,2453.35,0.0,pix+pagamento_junto,NAO,,0,SIM,4,3153.35,0,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,"Pagto junto (Aparelho 1/2, total grupo R$ 3,153)",NAO,,grupo 4 (62 e 63): valor da venda = 2453 | 2453.35 pix = 2453 | grupo R$ 3153
63,07/06/2026,IPHONE XR 64GB AZUL SEMINOVO,353060104205916,700.0,25.0,500.0,175.0,700.0,0,0,0,0,700.0,0.0,pagamento_junto,NAO,,0,SIM,4,3153.35,0,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,seminovo,"Pagto junto (Aparelho 2/2, total grupo R$ 3,153)",NAO,,grupo 4 (62 e 63): valor da venda = 700 | 700 pix = 700 | grupo R$ 3153
64,07/06/2026,IPHONE 13 PRO MAX 128GB SEMINOVO,353869220171228,3047.0,10.0,2600.0,437.0,3047.0,0,0,0,0,3047.0,0.0,pix,NAO,,0,NAO,,,,Higor Guedes,85e3aa42-b9af-49b8-a72a-64e9c337aa53,CELL,1,seminovo,,NAO,,valor da venda = 3047 | 3047 pix | brinde 10
65,07/06/2026,IPHONE 16 PRO MAX 256GB DESERT SEMINOVO,35568866635102,5450.0,0,5000.0,450.0,5450.0,0,0,0,0,5450.0,0.0,pix,NAO,,0,NAO,,,,Higor Guedes,85e3aa42-b9af-49b8-a72a-64e9c337aa53,CELL,1,seminovo,,NAO,,valor da venda = 5450 | 5450 pix
66,07/06/2026,IPHONE 14 PRO MAX 256GB ROXO SEMINOVO,357879437816990,3350.0,0,3200.0,150.0,3350.0,0,0,0,0,3350.0,0.0,pix,NAO,,0,NAO,,,,Higor Guedes,85e3aa42-b9af-49b8-a72a-64e9c337aa53,CELL,1,seminovo,,NAO,,valor da venda = 3350 | 3350 pix
67,07/06/2026,IPHONE 16E 128GB PRETO SEMINOVO,356243696858256,2839.0,0,1800.0,1039.0,2839.0,0,0,0,0,2839.0,0.0,pix,NAO,,0,NAO,,,,Higor Guedes,85e3aa42-b9af-49b8-a72a-64e9c337aa53,CELL,1,seminovo,,NAO,,valor da venda = 2839 | 2839 pix
68,07/06/2026,IPHONE 17 256GB PRETO NOVO,355989444523158,4605.0,0,4550.0,55.0,4605.0,0,0,0,0,4605.0,0.0,pix,NAO,,0,NAO,,,,Higor Guedes,85e3aa42-b9af-49b8-a72a-64e9c337aa53,CELL,1,novo,,NAO,,valor da venda = 4605 | 4605 pix
69,07/06/2026,IPHONE 14 128GB AZUL SEMINOVO,358264142105709,2150.0,0,1900.0,250.0,2150.0,0,0,0,0,2150.0,0.0,pix,NAO,,0,NAO,,,,Higor Guedes,85e3aa42-b9af-49b8-a72a-64e9c337aa53,CELL,1,seminovo,,NAO,,valor da venda = 2150 | 2150 pix
70,07/06/2026,NOTE 15 8GB 256GB PRETO NOVO,865716081697042,1330.0,0,1100.0,230.0,0,0,1330.0,0,0,1330.0,0.0,outros,NAO,,0,NAO,,,,Guilherme,25e2da5b-9e76-4388-9890-7e22efd6940d,BLOCO B,20,novo,,NAO,,valor da venda = 1330 | 1330 credito (visa 2x (taxa 5.0%))
71,08/06/2026,IPHONE 11 64GB PRETO SEMINOVO - GARANTIA DO XR,356814118803398,880.0,15.0,600.0,0,180.0,0,0,0,700.0,880.0,0.0,pix,SIM,ENTROU UM XR 64 AZUL POR,700.0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,CELL,1,seminovo,,NAO,,valor da venda = 880 | 180 pix + 700 troca | brinde 15
72,09/06/2026,IPHONE 15 PRO 256GB NATURAL SEMINOVO,354300587089588,3780.0,25.0,3000.0,755.0,3780.0,0,0,0,0,3780.0,0.0,pix,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,CELL,1,seminovo,,NAO,,valor da venda = 3780 | 3780 pix | brinde 25
