DATA,MODELO,IMEI,VALOR DE VENDA,BRINDE,CUSTO APARELHO,FORMA DE PAGAMENTO,VENDEDOR,LOJA,PRECISA_REVISAO,MOTIVO_REVISAO,ENTENDIMENTO
30/06/2026,FONTE APPLE ORIGINAL NOVO,C4H617100HUQ8YQAH,"R$ 200,00",R$ -,"R$ 125,00","PAGAMENTO JUNTO, APARELHO 2",Marcela,ONLINE,SIM,"Pagto grupo  (total R$ 0): extraiu nada deste device, restante R$ 0 compartilhado no grupo",
30/06/2026,IPAD 11 128GB SILVER NOVO,HGGXOXCQXF,"R$ 2.952,00","R$ 170,00","R$ 2.650,00","352,00 em 1x /2600,00 pix",Marcela,ONLINE,NAO,,valor da venda = 2952 | 2600 pix + 352 credito | brinde 170
30/06/2026,IPHONE 16 PRO PRETO 256GB SEMINOVO,I35856474128140 9,"R$ 4.600,00","R$ 25,00","R$ 4.400,00","4600,00 pix",Marcela,ONLINE,NAO,,valor da venda = 4600 | 4600 pix | brinde 25
30/06/2026,REDMI PAD 2 256GB CINZA NOVO,65554/V6QT00717,"R$ 1.410,00","R$ 60,00","R$ 1.230,00","R$1.466,46 CRÉDITO 1X",Ronald,CASES,NAO,,valor da venda = 1410 | 1410 credito (visa 1x (taxa 3.9%)) | brinde 60
02/07/2026,SAMSUNG TAB A11+ 256GB SILVER NOVO,R5GL10471AN,"R$ 2.000,00","R$ 60,00","R$ 1.690,00",PIX,Ronald,CASES,NAO,,valor da venda = 2000 | 2000 pix | brinde 60
02/07/2026,IPHONE 15 128GB ROSA SEMINOVO - GARANTIA,35 8019944885001,,,,IPH 15 128GB PRETO - motivo da garantia - bateria desceu muito rapido.,Renan,BLOCO B,SIM,Linha ignorada (GARANTIA/TROCA),Valor GARANTIA - ignorado
02/07/2026,IPHONE 14 128GB PRETO SEMINOVO,3582504963025,"R$ 2.200,00",R$ -,"R$ 1.900,00","PIX R$ 1.250,00 / ENTRADA IPH 12 R$ 950,00",Rayssa,CELL,NAO,,valor da venda = 2200 | 1250 pix + 950 troca
02/07/2026,FONTE APPLE NOVA,C4H0T/TUIPSQOYQAP,"R$ 180,00",R$ -,"R$ 125,00",PIX - PAGAMENTO JUNTO PRODUTO 2,Rayssa,CELL,NAO,,valor da venda = 180 | 180 pix
03/07/2026,IPHONE 16 PRO NATURAL 256GB SEMINOVO,356727493382996,"R$ 4.917,00","R$ 15,00","R$ 4.350,00","PIX R$ 1.000,00 / PIX R$ 2.067,00 / ENTRADA IPH 14 256GB BRANCO R$ 1.850,00",Higor Guedes,CELL,NAO,,valor da venda = 4917 | 3067 pix + 1850 troca | brinde 15
03/07/2026,IPHONE 15 PRO MAX 256GB BRANCO SEMINOVO,355496932150197,"R$ 4.000,00",R$ -,"R$ 3.800,00",PIX,Ronald,CASES,NAO,,valor da venda = 4000 | 4000 pix
03/07/2026,IPHONE 13 256GB ROSA SEMINOVO,35 376386 292597,"R$ 2.185,00","R$ 50,00","R$ 1.950,00",PIX,Marcela,ONLINE,NAO,,valor da venda = 2185 | 2185 pix | brinde 50
03/07/2026,IPHONE 17 PRO MAX 256GB PRATA NOVO,35 376386 292597,"R$ 7.500,00","R$ 15,00","R$ 7.200,00","1000,00 no cartão 2x / 6500,00 pix",Marcela,ONLINE,NAO,,valor da venda = 7500 | 6500 pix + 1000 credito | brinde 15
03/07/2026,IPHONE 17 PRO MAX 256GB LARANJA NOVO,35.342733.015499-6,"R$ 7.358,00","R$ 40,00","R$ 6.900,00","600 pix/673 1x / 5985,00 12x /100 pix",Marcela,ONLINE,SIM,So extraiu: 700 pix de 7358 → falta R$ 6658 sem valor explicito no texto,
03/07/2026,IPHONE 17 PRO MAX 256GB LARANJA NOVO,357247257791554,"R$ 7.150,00","R$ 15,00","R$ 7.000,00","2800,00 pix / entrou um 16 pro Max por 4350,00",Marcela,ONLINE,NAO,,valor da venda = 7150 | 2800 pix + 4350 troca | brinde 15
03/07/2026,REDMI PAD 2 256GB GRAFITE NOVO,65577/W6PT02362,"R$ 1.350,00","R$ 5,00","R$ 1.260,00",PIX,Renan,BLOCO B,NAO,,valor da venda = 1350 | 1350 pix | brinde 5
03/07/2026,IPHONE 17 PRO 256GB AZUL NOVO,35 362184 057038 2,"R$ 6.749,00","R$ 15,00","R$ 6.500,00","PIX R$ 4.849,00 / ENTRADA IPH 14 128GB R$ 1.900,00",Guilherme,BLOCO B,NAO,,valor da venda = 6749 | 4849 pix + 1900 troca | brinde 15
03/07/2026,IPHONE 17 PRO MAX 256GB LARANJA NOVO,353427339123893,"R$ 7.150,00","R$ 15,00","R$ 7.050,00","50 pix/2500 dinheiro/entrou 12 pro MAx 800,00 entrou 15 pro MAx 3800 seminovos",Marcela,ONLINE,SIM,So extraiu: 50 pix + 2500 dinheiro + 800 troca de 7150 → falta R$ 3800 sem valor explicito no texto,
03/07/2026,IPHONE 17 PRO MAX 256GB LARANJA NOVO,356365569584920,"R$ 7.200,00","R$ 5,00","R$ 7.000,00","4700 pix/ entrou 15 seminovo 2500,00",Marcela,ONLINE,NAO,,valor da venda = 7200 | 4700 pix + 2500 troca | brinde 5
03/07/2026,IPHONE 17 PRO MAX 256GB AZUL NOVO,35 510147 895173 1,"R$ 7.250,00","R$ 15,00","R$ 7.000,00","R$ 3.000,00 / R$ 4.521,28 EM 2X",Guilherme,BLOCO B,SIM,So extraiu: 4521.28 credito de 7250 → falta R$ 2729 sem valor explicito no texto,
03/07/2026,POCO C85 256GB VERDE NOVO,864280081873302,"R$ 1.150,00",R$ -,"R$ 950,00",PIX,Ruyter,CASES,NAO,,valor da venda = 1150 | 1150 pix
03/07/2026,IPHONE 15 PRO MAX 256GB NATURAL SEMINOVO,35 166182 928683 4,"R$ 4.000,00",R$ -,"R$ 3.800,00","PIX R$ 2.600,00 / ENTRADA IPH 14 PLUS PRETO R$ 1.400,00",Ruyter,CASES,NAO,,valor da venda = 4000 | 2600 pix + 1400 troca
04/07/2026,IPHONE 14 128GB PRETO SEMINOVO - GARANTIA,35 104891 066299 2,,,,TROCA IPH 14 PRETO 128GB,Ruyter,CASES,SIM,Linha ignorada (GARANTIA/TROCA),Valor GARANTIA - ignorado
04/07/2026,IPHONE XR 64GB BRANCO SEMINOVO,353056102938326,"R$ 700,00","R$ 10,00","R$ 500,00","R$2930,00 PIX - PAGAMENTO JUNTO, APARELHO 1/3",Renan,BLOCO B,NAO,,grupo 2 (34 e 35 e 36): valor da venda = 700 | 700 pix = 700 | grupo R$ 2930
04/07/2026,IPHONE XR 64GB PRETO SEMINOVO,352887117702625,"R$ 750,00","R$ 10,00","R$ 500,00",PAGAMENTO JUNTO APARELHO 2/3,Renan,BLOCO B,NAO,,grupo 2 (34 e 35 e 36): valor da venda = 750 | 750 pix = 750 | grupo R$ 2930
04/07/2026,IPHONE 12 128GB LILAS SEMINOVO,351166892891288,"R$ 1.480,00","R$ 10,00","R$ 1.280,00",PAGAMENTO JUNTO APARELHO 3/3,Renan,BLOCO B,NAO,,grupo 2 (34 e 35 e 36): valor da venda = 1480 | 1480 pix = 1480 | grupo R$ 2930
04/07/2026,IPHONE 17 PRO MAX 256GB SILVER NOVO,359178378004163,"R$ 7.600,00","R$ 15,00","R$ 7.200,00","3000,00 pix/ pagou 1700,00 em 10x / entrou um 14 pro Max 2900,00",Marcela,ONLINE,NAO,,valor da venda = 7600 | 3000 pix + 4600 troca | brinde 15
04/07/2026,IPAD 11 128GB SILVER NOVO,D4FWC6ND77,"R$ 3.000,00",R$ -,"R$ 2.800,00","3.367,01 em 10x",Guilherme,BLOCO B,NAO,,valor da venda = 3000 | 3000 credito (visa 10x (taxa 10.9%))
04/07/2026,IPHONE 16 PRO MAX 1TB NATURAL SEMINOVO,355300187621094,"R$ 5.600,00","R$ 20,00","R$ 5.200,00",PIX,Angel,BLOCO B,SIM,Vendedor Angel - pendente ID real,valor da venda = 5600 | 5600 pix | brinde 20
04/07/2026,IPHONE 17 PRO MAX 256GB SILVER NOVO,35 917837 634557 6,"R$ 7.400,00","R$ 15,00","R$ 7.200,00","2000,0 pix /entrou 15 pro seminovo 3150,00/entrou 16 pro seminovo 4000,00 / pagou 3403 em 10x - PAGAMENTO JUNTO APARELHO 1/2",Marcela,ONLINE,NAO,,grupo 3 (40 e 41): valor da venda = 7400 | 250 pix + 7150 troca = 7400 | grupo R$ 12553
04/07/2026,IPHONE 16 PRO MAX DESERT 256GB SEMINOVO,35 633949 799601  9,"R$ 5.153,00","R$ 15,00","R$ 4.800,00","PAGAMENTO JUNTO, APARELHO 2/2",Marcela,ONLINE,NAO,,grupo 3 (40 e 41): valor da venda = 5153 | 5153 pix = 5153 | grupo R$ 12553
04/07/2026,IPHONE 17 PRO 256GB SILVER NOVO,359917390759761,"R$ 6.950,00","R$ 20,00","R$ 6.600,00","R$ 3.500,00 PIX / R$ 2.900,00 PIX / ENTRADA IPH 11 64GB R$ 550,00",Ronald,CASES,NAO,,valor da venda = 6950 | 6400 pix + 550 troca | brinde 20
04/07/2026,IPHONE 14 128GB PRETO SEMINOVO,352665538717386,"R$ 2.000,00",R$ -,"R$ 1.900,00","R$ 3.000,00 PIX DIA 03/07 / R$ 1.000,00 PIX DIA 04/07 - PAGAMENTO JUNTO APARELHO 1/2",Ronald,CASES,NAO,,grupo 4 (43 e 44): valor da venda = 2000 | 2000 pix = 2000 | grupo R$ 4000
04/07/2026,IPHONE 14 128GB AZUL SEMINOVO,358821547386883,"R$ 2.000,00",R$ -,"R$ 1.900,00",PAGAMENTO JUNTO APARELHO 2/2,Ronald,CASES,NAO,,grupo 4 (43 e 44): valor da venda = 2000 | 2000 pix = 2000 | grupo R$ 4000
04/07/2026,IPHONE 17 PRO 256GB SILVER LACRADO,26290620227000,"R$ 7.000,00","R$ 15,00","R$ 6.750,00","PIX 3900 / ENTRADA IPH 15 PRO 128GB R$ 3.100,00",Rayssa,CELL,NAO,,valor da venda = 7000 | 3900 pix + 3100 troca | brinde 15
04/07/2026,IPHONE 17 256GB BRANCO LACRADO,356146774764865,"R$ 5.385,00","R$ 10,00","R$ 5.250,00","R$ 2.000,00 PIX / PIX R$ 3.385,00",Rayssa,CELL,NAO,,valor da venda = 5385 | 5385 pix | brinde 10
04/07/2026,IPHONE 17 PRO MAX 256GB AZUL SEMINOVO,35362930348882664,"R$ 4.000,00","R$ 15,00","R$ 3.800,00","PIX R$ 2.300,00 / ENTRADA IPH 12 PRO MAX R$ 1.700,00",Rayssa,CELL,NAO,,valor da venda = 4000 | 2300 pix + 1700 troca | brinde 15
04/07/2026,IPHONE 17 PRO MAX 26GB SILVER LACRADO,359178377231601,"R$ 7.450,00","R$ 15,00","R$ 7.200,00","PIX R$ 4.050,00 / ENTRADA IPH 16 128GB ROSA R$ 3.400,00",Rayssa,CELL,NAO,,valor da venda = 7450 | 4050 pix + 3400 troca | brinde 15
04/07/2026,IPHONE 13 PRETO 256GB SEMINOVO,34 741587 658572 9,"R$ 2.050,00",R$ -,"R$ 1.900,00",PIX,Camila,CELL,NAO,,valor da venda = 2050 | 2050 pix
04/07/2026,AIR PODS 4 LACRADO,GG23124FQM,"R$ 700,00",R$ -,"R$ 750,00",PIX,Camila,CELL,NAO,,valor da venda = 700 | 700 pix
04/07/2026,IPHONE 15 128GB ROSA SEMINOVO,35 817837 496428 8,"R$ 2.800,00",R$ -,"R$ 1.650,00",PIX,Ruyter,CASES,NAO,,valor da venda = 2800 | 2800 pix
04/07/2026,IPHONE 16 PRO MAX 1TB NATURAL SEMINOVO,35 339381  870880 4,"R$ 5.613,00","R$ 25,00","R$ 5.200,00","R$4515,00 PIX / R$598,00 PIX / ENTRADA IPH 13 PM R$ 2.500,00  - PAGAMENTO JUNTO APARELHO 1/2",Renan,BLOCO B,NAO,,grupo 5 (52 e 53): valor da venda = 5613 | 3113 pix + 2500 troca = 5613 | grupo R$ 10113
04/07/2026,IPHONE 16 PRO 128GB DESERT SEMINOVO,355588181178950,"R$ 4.500,00","R$ 25,00","R$ 4.050,00","ENTRADA IPH 14 PRO R$ 2.500,00 - PAGAMENTO JUNTO APARELHO 2/2",Renan,BLOCO B,NAO,,grupo 5 (52 e 53): valor da venda = 4500 | 2000 pix + 2500 troca = 4500 | grupo R$ 10113
04/07/2026,IPHONE 16 128GB BRANCO NOVO,359482938606776,"R$ 4.300,00","R$ 5,00","R$ 4.100,00","PIX R$ 1.150,00 / PIX CARTAO R$ 2.000,00 / ENTRADA IPH 12 128GB R$ 1.150,00",Ruyter,CASES,NAO,,valor da venda = 4300 | 1150 pix + 2000 credito + 1150 troca | brinde 5
04/07/2026,IPHONE 15 PRO 128GB AZUL SEMINOVO,35 819754 164460,"R$ 3.400,00","R$ 15,00","R$ 3.200,00",PIX,Higor Guedes,CELL,NAO,,valor da venda = 3400 | 3400 pix | brinde 15
04/07/2026,IPHONE 15 128GB PRETO SEMINOVO,355377265300213,"R$ 2.872,00","R$ 15,00","R$ 2.650,00","PIX R$ 700,00 / PIX R$ 2.172,00",Higor Guedes,CELL,NAO,,valor da venda = 2872 | 2872 pix | brinde 15
04/07/2026,IPHONE 11 64GB BRANCO SEMINOVO,35.898187.748477-3,"R$ 950,00",R$ -,"R$ 600,00","PIX de R$ 1.400 (R$ 950,00 referente a venda do celular e R$ 450,00 referente a assistência) - PIX MANDADO P CELL !!!!!!",Renata,CELL,SIM,Extracao excede venda em R$ 450: extraiu 1400 pix = 1400 > venda 950 → texto descreve pagamento de outros itens,
05/07/2026,IPHONE 17 PRO MAX 256GB AZUL NOVO,351205748842390,"R$ 7.150,00",R$ -,"R$ 7.000,00",PIX,Renan,BLOCO B,NAO,,valor da venda = 7150 | 7150 pix
05/07/2026,IPHONE 14 PRO 256GB ROXO NOVO,35 556334 041559 9,"R$ 3.250,00","R$ 25,00","R$ 2.900,00","R$ 3.647,59 em 10x",Guilherme,BLOCO B,NAO,,valor da venda = 3250 | 3250 credito (visa 10x (taxa 10.9%)) | brinde 25
05/07/2026,IPHONE 14 PLUS 128GB BRANCO NOVO,35 282054 898626 9,"R$ 2.600,00","R$ 25,00","R$ 2.150,00","R$ 2.918,01 em 10x",Guilherme,BLOCO B,NAO,,valor da venda = 2600 | 2600 credito (visa 10x (taxa 10.9%)) | brinde 25
05/07/2026,IPHONE 17 PRO 256GB SILVER NOVO,352574675504235,"R$ 7.028,00","R$ 20,00","R$ 6.750,00","2.950,00 CRÉDITO 10X / ENTRADA IPH 16 PRO 256GB DESERT R$ 4.400,00",Ronald,CASES,NAO,,valor da venda = 7028 | 2628 credito (visa 10x (taxa 10.9%)) + 4400 troca | brinde 20
05/07/2026,IPHONE 17 PRO MAX 256GB SILVER NOVO,351668149691346,"R$ 7.449,00","R$ 20,00","R$ 7.200,00","R$5.749,00 PIX / ENTRADA IPH 14 128GB BRANCO R$ 1.700,00",Ronald,CASES,NAO,,valor da venda = 7449 | 5749 pix + 1700 troca | brinde 20
05/07/2026,IPHONE 14 PRO 256GB PRETO SEMINOVO,353429715641746,"R$ 3.100,00","R$ 20,00","R$ 2.900,00",PIX,,CELL,NAO,,valor da venda = 3100 | 3100 pix | brinde 20
05/07/2026,IPHONE 17 PRO MAX 256GB LARANJA LACRADO,350230979597357,"R$ 7.162,00","R$ 10,00","R$ 7.050,00",PIX,Rayssa,CELL,NAO,,valor da venda = 7162 | 7162 pix | brinde 10
05/07/2026,IPHONE 13 PRO MAX 128GB DOURADO SEMINOVO,35861241621265,"R$ 2.650,00","R$ 20,00","R$ 150,00",PIX,Rayssa,CELL,NAO,,valor da venda = 2650 | 2650 pix | brinde 20
07/07/2026,IPHONE 17 PRO MAX 256GB SILVER NOVO,359178375370369,"R$ 7.300,00",R$ -,"R$ 7.200,00",PIX,Ronald,CASES,NAO,,valor da venda = 7300 | 7300 pix
07/07/2026,IPHONE 16 PRO MAX 256GB NATURAL SEMINOVO,354661670984062,"R$ 5.000,00","R$ 25,00","R$ 4.800,00",PIX,Ronald,CASES,NAO,,valor da venda = 5000 | 5000 pix | brinde 25
07/07/2026,IPHONE 17 PRO MAX 512GB SILVER NOVO,353427334423694,"R$ 9.100,00",R$ -,"R$ 9.000,00","R$ 7.100,00 PIX / R$ 2.000,00 DINHEIRO",Renan,BLOCO B,NAO,,valor da venda = 9100 | 7100 pix + 2000 dinheiro
07/07/2026,IPHONE 13 PRO MAX 256GB VERDE SEMINOVO - GARANTIA,35 698572 271244 7,,"R$ 5,00","R$ 2.750,00",GARANTIA,Marcela,ONLINE,SIM,Linha ignorada (GARANTIA/TROCA),Valor GARANTIA - ignorado
07/07/2026,IPHONE 17 PRO MAX 256GB LARANJA NOVO,358159684462304,"R$ 7.380,00","R$ 15,00","R$ 7.040,00","1000,00 pix/  1063,00 / 5317,00",Marcela,ONLINE,SIM,So extraiu: 1000 pix de 7380 → falta R$ 6380 sem valor explicito no texto,
