DATA,MODELO,IMEI,VALOR DE VENDA,BRINDE,CUSTO APARELHO,FORMA DE PAGAMENTO,VALOR LIQUIDO,LUCRO,MÊS,ANO,VENDEDOR,LOJA
02/05/2026,IPHONE 17 PRO MAX 256GB BRANCO NOVO,350552896576341,"R$ 8.899,00","R$ 10,00","R$ 8.300,00","ENTRADA IPH 13 PRO MAX 128GB PRETO R$ 2.250,00 / PAGAMENTO JUNTO APARELHO 2",,"R$ 589,00",mai,26,Higor Guedes,CELL
03/05/2026,IPHONE 11 64GB PRETO SEMINOVO,352923110862460,"R$ 800,00",,"R$ 650,00",PIX,,"R$ 150,00",mai,26,Ronald,CASES
03/05/2026,IPHONE 16 PRO 256GB PRETO SEMINOVO,35 551560 7895768,"R$ 4.700,00",,"R$ 4.450,00",PIX,,"R$ 250,00",mai,26,Yasmin,ONLINE
03/05/2026,IPHONE 11 PRO 256GB BRANCO SEMINOVO,35 283411 187617 9,"R$ 1.200,00","R$ 25,00","R$ 700,00","ENTRADA IPH XR 64GB R$ 250,00 / PIX R$ 950,00",,"R$ 475,00",mai,26,MARCELA,ONLINE
03/05/2026,BOMBOX 4 PRETA NOVO,TL1876-JP0086246,"R$ 2.350,00",,"R$ 2.350,00",PIX,,R$ -,mai,26,MARCELA,ONLINE
03/05/2026,IPHONE 14 PRO 256GB SEMINOVO,35 454250 345385 7,"R$ 3.200,00","R$ 25,00","R$ 2.950,00","R$ 1.000,00 PIX / R$ 2.200,00 CARTÃO",,"R$ 225,00",mai,26,MARCELA,ONLINE
03/05/2026,IPHONE 15 PRO MAX 256Gb SEMINOVO,35 130699 234828 0,"R$ 4.300,00","R$ 25,00","R$ 3.950,00",PIX,,"R$ 325,00",mai,26,MARCELA,ONLINE
03/05/2026,IPAD 11 128GB AMARELO NOVO,D26WC4VMQP,"R$ 2.715,00","R$ 150,00","R$ 2.140,00","R$ 1.400,00 DINHEIRO / R$ 1.315,00 PIX",,"R$ 425,00",mai,26,MARCELA,ONLINE
03/05/2026,IPHONE 14 PRO 128GB ROXO SEMINOVO,35 771276 123232 0,"R$ 3.000,00","R$ 25,00","R$ 2.700,00","R$ 3.367,00 CREDITO 10X",,"R$ 275,00",mai,26,Bianca,CASES
03/05/2026,IPHONE 17 PRO MAX 512GB AZUL LACRADO,35 055289 800787 3,"R$ 9.280,00","R$ 30,00","R$ 9.050,00","PIX R$ 9.150,00 / PIX R$ 130,00",,"R$ 200,00",mai,26,RENATA,CELL
03/05/2026,IPHONE 14 PRO MAX 256GB ROXO SEMINOVO,356684163986301,"R$ 3.521,00","R$ 25,00","R$ 3.200,00","R$ 700,00 EM DINHEIRO / R$ 1.300,00 PIX / R$ 1.630,44 EM 4X",,"R$ 296,00",mai,26,Guilherme,BLOCO B
03/05/2026,IPHONE 14 128GB AZUL SEMINOVO,358264144532215,"R$ 2.200,00","R$ 25,00","R$ 2.050,00","R$ 2.502,85 EM 12X",,"R$ 125,00",mai,26,Guilherme,BLOCO B
03/05/2026,IPHONE 14 PRO MAX 256GB ROXO SEMINOVO,353742532615895,"R$ 3.550,00","R$ 25,00","R$ 3.200,00",PIX,,"R$ 325,00",mai,26,Ronald,CASES
03/05/2026,SAMSUNG TAB S10 FE 128GB CINZA NOVO,R5GL343H0BP,"R$ 2.582,00","R$ 95,00","R$ 2.350,00","R$ 2.400,00 PIX / R$ 190,00 CREDITO",,"R$ 137,00",mai,26,Ronald,CASES
03/05/2026,IPHONE 14 128GB LILAS SEMINOVO,354807376249710,"R$ 2.190,00","R$ 25,00","R$ 2.050,00",DINHEIRO,,"R$ 115,00",mai,26,Higor Guedes,CELL
03/05/2026,IPHONE 13 PRO MAX 256G BRANCO SEMINOVO,351596247157557,"R$ 3.287,00","R$ 25,00","R$ 2.950,00","ENTRADA IPHONE 11 64GB VERDE R$ 600,00 / PIX R$ 2.687,00",,"R$ 312,00",mai,26,Higor Guedes,CELL
05/05/2026,IPHONE 17 256GB PRETO LACRADO,351807178569383,"R$ 5.530,00","R$ 25,00","R$ 4.950,00",PIX,,"R$ 555,00",mai,26,RENATA,CELL
05/05/2026,IPHONE 14 256GB PRETO SEMINOVO,353267568818502,"R$ 2.450,00","R$ 18,00","R$ 2.150,00",PIX,,"R$ 282,00",mai,26,RENATA,CELL
05/05/2026,IPHONE 17 PRO MAX 256GB SILVER NOVO,357247252989922,"R$ 8.500,00",,"R$ 8.300,00","ENTRADA IPHONE 15 PRO MAX 256GB PRETO R$ 4.000,00 / PIX TOTAL R$ 12.800,00 (PAGAMENTO JUNTO APARELHO 1)",,"R$ 200,00",mai,26,Ronald,CASES
05/05/2026,IPHONE 17 PRO MAX 256GB AZUL NOVO,357205981616604,"R$ 8.300,00",,"R$ 8.100,00",PAGAMENTO JUNTO APARELHO 2,,"R$ 200,00",mai,26,Ronald,CASES
05/05/2026,NOTE 15 PRO 5G 256GB AZUL NOVO,860548074484947,"R$ 1.950,00",,"R$ 1.690,00",PIX,,"R$ 260,00",mai,26,Ronald,CASES
05/05/2026,REALME C75 5G PRETO 256GB NOVO,862813070179174,"R$ 1.340,00",,"R$ 1.240,00","R$ 1.436,07 CREDITO 4X",,"R$ 100,00",mai,26,Ronald,CASES
05/05/2026,IPHONE 13 128GB PRETO SEMINOVO,351264787086047,"R$ 2.025,00","R$ 25,00","R$ 1.800,00","TOTAL R$ 4.607,51 CREDITO 12X (PAGAMENTO JUNTO APARELHO 1)",,"R$ 200,00",mai,26,Ronald,CASES
05/05/2026,IPHONE 13 128GB BRANCO SEMINOVO,351520705483289,"R$ 2.025,00","R$ 25,00","R$ 1.800,00",PAGAMENTO JUNTO APARELHO 2,,"R$ 200,00",mai,26,Ronald,CASES
05/05/2026,IPHONE 14 PLUS 128GB PRETO SEMINOVO,359069332647611,"R$ 2.593,00","R$ 25,00","R$ 2.300,00",PIX,,"R$ 268,00",mai,26,Higor Guedes,CELL
05/05/2026,IPHONE 13 PRO 256GB GRAFIT SEMINOVO,350367272380303,"R$ 2.750,00","R$ 25,00","R$ 2.500,00","R$ 4.250,00 VALOR REFERENTE AO DAWGRAND DO IPH 17 PRO MAX PARA O 13 PRO 256GB",,"R$ 225,00",mai,26,Higor Guedes,CELL
05/05/2026,IPHONE 15 128GB ROSA SEMINOVO,35 739586 5324357,"R$ 2.900,00","R$ 25,00","R$ 2.750,00","1.200,00 débito / entrada iPhone 13 128gb rosa 1.700,00",,"R$ 125,00",mai,26,Yasmin,ONLINE
05/05/2026,REDMI NOTE 15 5G 256GB PRETO NOVO,865292088798209,"R$ 1.500,00",,"R$ 1.370,00","1.100,00 crédito / 400,00 dinheiro",,"R$ 130,00",mai,26,Yasmin,ONLINE
05/05/2026,IPHONE 17 PRO 256GB BRANCO SEMINOVO,,"R$ 6.880,00","R$ 25,00","R$ 6.350,00","PIX R$ 1.000,00 / PIX R$ 3.880,00 / ENTRADA IPH 14 128GB PRETO R$ 2.000,00",,"R$ 300,00",mai,26,Higor Guedes,CELL
06/05/2026,IPAD 11 128GB 128GB SILVER NOVO,G79XRVF52R,"R$ 2.320,00","R$ 10,00","R$ 2.180,00",CREDITO,,"R$ 130,00",mai,26,MARCELA,ONLINE
06/05/2026,IPHONE 15 128GB ROSA SEMINOVO,35 605449 117666 2,"R$ 2.960,00","R$ 60,00","R$ 2.750,00",PIX,,"R$ 125,00",mai,26,MARCELA,ONLINE
06/05/2026,IPHONE 14 PRO MAX 256GB PRETO SEMINOVO,,"R$ 3.590,00","R$ 15,00","R$ 3.200,00","R$840,00 PIX (REFERENTE A UMA ASSISTÊNCIA DE REPARO NA PLACA QUE NÃO DEU CERTO DIA 24/04) PEGANDO 13 PRO MAX 512GB POR R$400,00 (FELIPE AVALIOU)
R$2.350 PIX 
",,"R$ 375,00",mai,26,Bianca,CASES
06/05/2026,IPHONE 15 PRO MAX 256GB PRETO SEMINOVO,35 536428 0424731,"R$ 4.150,00",,"R$ 3.950,00",PIX,,"R$ 200,00",mai,26,Ronald,CASES
06/05/2026,IPHONE 16 PRO MAX 256GB PRETO SEMINOVO,35 863762 8310721,"R$ 5.600,00","R$ 25,00","R$ 5.250,00","ENTRADA IPH 15 PRO 128GB NATURAL R$ 3.000,00 + R$ 2.600,00 PIX",,"R$ 325,00",mai,26,Raissa,BLOCO B
06/05/2026,IPHONE 16 PRO MAX 256GB PRETO SEMINOVO,35 427635 5652528,"R$ 5.400,00","R$ 25,00","R$ 5.000,00",PIX,,"R$ 375,00",mai,26,Raissa,BLOCO B
06/05/2026,IPHONR 17E 256GB PRETO NOVO,35 196117 144341 7,"R$ 3.800,00",,"R$ 3.550,00","R$ 4.323,10 EM 12X",,"R$ 250,00",mai,26,Guilherme,BLOCO B
06/05/2026,IPHONE 17 PRO MAX 256GB AZUL NOVO,35 843470226826 8,"R$ 8.400,00",,"R$ 8.150,00",PIX,,"R$ 250,00",mai,26,Guilherme,BLOCO B
06/05/2026,IPHONE 17 PRO MAX 256GB AZUL NOVO,35 843470814455 4,"R$ 8.400,00","R$ 15,00","R$ 8.100,00","ENTRADA IPH 15 PRO MAX 256GB AZUL R$ 3.950,00 / DINHEIRO R$ 4.450,00",,"R$ 285,00",mai,26,RENAN,BLOCO B
06/05/2026,IPHONE 15 128GB PRETO SEMINOVO,359757420449029,"R$ 3.000,00","R$ 25,00","R$ 2.750,00","ENTRADA IPH 12 128GB PRETO R$ 1.000,00 / PIX R$ 2.000,00",,"R$ 225,00",mai,26,RENAN,BLOCO B
07/05/2026,IPHONE 17 PRO MAX 256GB AZUL NOVO,351771405550451,"R$ 8.390,00","R$ 40,00","R$ 8.150,00","R$ 8.300,00 PIX / R$ 90,00 PIX",,"R$ 200,00",mai,26,Ronald,CASES
07/05/2026,IPHONE 15 128GB ROSA SEMINOVO,353177641256390,GARANTIA,,,GARANTIA,,R$ -,mai,26,MARCELA,ONLINE
07/05/2026,IPHONE 13 PRO MAX 128GB DOURADO SEMINOVO,35 434718 7764201,"R$ 2.890,00","R$ 65,00","R$ 2.650,00",PIX,,"R$ 175,00",mai,26,MARCELA,ONLINE
07/05/2026,REDMI NOTE 15 5G 256GB ROXO NOVO,86195070529825,"R$ 1.420,00",R$ -,"R$ 1.360,00",PIX,,"R$ 60,00",mai,26,Ronald,CASES
07/05/2026,POCO F7 512GB PRATA NOVO,862136074435040,"R$ 341,00","R$ 120,00","R$ 2.800,00","1750,00 pix(pix dia 06/05, de reserva )/1681 cartão",,"R$ 511,00",mai,26,MARCELA,ONLINE
07/05/2026,IPHONE 17 PRO MAX 256GB BRANCO NOVO,357247253990986,"R$ 8.780,00","R$ 10,00","R$ 8.300,00","PIX R$ 2.600,00 / ENTRADA IPH 14 PRO MAX ROXO 256GB R$ 3.000 / ENTRADA IPH 15 PRO 256GB NATURAL R$ 3.180,00",,"R$ 470,00",mai,26,Higor Guedes,CELL
07/05/2026,IPHONE 13 PRO MAX 128GB AZUL SEMINOVO,35 717750 667908,"R$ 3.230,00","R$ 205,00","R$ 2.650,00","ENTRADA IPH 12 PRO MAX AZUL R$ 1.900,00 / PIX R$ 1.330,00",,"R$ 375,00",mai,26,Higor Guedes,CELL
07/05/2026,IPHONE 17 PRO MAX 512GB AZUL NOVO,351668144729893,"R$ 9.950,00",R$ -,"R$ 8.850,00","ENTRADA IPH 16 PRO MAX 256GB DESERT R$ 4.700 /  PIX R$ 5.250,00",,"R$ 1.100,00",mai,26,Higor Guedes,CELL
07/05/2026,IPHONE 17 PRO 256GB SILVER NOVO,354289639953000,"R$ 7.850,00",R$ -,"R$ 7.580,00","ENTRADA IPH 15 PRO R$ 2.600,00 / PIX R$ 5.250,00",,"R$ 270,00",mai,26,Higor Guedes,CELL
08/05/2026,IPHONE 14 128GB LILAS SEMINOVO,350577192598574,"R$ 2.400,00","R$ 25,00","R$ 2.050,00","ENTRADA IPHONE 12 128GB AZUL R$ 1.300,00 / PIX R$ 1.100,00",,"R$ 325,00",mai,26,Ronald,CASES
08/05/2026,IPHONE 17 PRO MAX 256GB PRATA NOVO,351771409088771,"R$ 8.480,00","R$ 15,00","R$ 8.300,00","2500,00 dinheiro / 2830,00 pix / 3150,00 referente a entrada de um 14 pro max 128Gb",,"R$ 165,00",mai,26,MARCELA,ONLINE
08/05/2026,IPHONE 13 128GB PRETO SEMINOVO,35 003844 178445 7,"R$ 1.924,00","R$ 15,00","R$ 1.800,00",CARTAO,,"R$ 99,00",mai,26,MARCELA,ONLINE
08/05/2026,IPHONE 13 PRO MAX 128GB PRETO SEMINOVO,35 211495 434344 1,"R$ 2.850,00","R$ 25,00","R$ 2.650,00","60,00 pix 2790,00 pix",,"R$ 175,00",mai,26,MARCELA,ONLINE
08/05/2026,AIRPODS PRO 3 NOVO,H2P49XQY13,"R$ 1.700,00",R$ -,"R$ 1.500,00","1.873,90 CRÉDITO 8x",,"R$ 200,00",mai,26,Ronald,CASES
08/05/2026,IPHONE 14 PRO MAX BRANCO SEMINOVO,350636590567381,"R$ 3.250,00",R$ -,"R$ 3.150,00","3.250,00 pix",,"R$ 100,00",mai,26,Ronald,CASES
08/05/2026,POCO PAD M1 CINZA NOVO,7111Y5YJ02338,"R$ 1.750,00",R$ -,"R$ 1.600,00",PIX,,"R$ 150,00",mai,26,Guilherme,BLOCO B
08/05/2026,IPHONE 14 PRO MAX ROXO SEMINOVO,35 765061 287491 8,"R$ 3.425,00","R$ 15,00","R$ 3.150,00",PIX,,"R$ 260,00",mai,26,Guilherme,BLOCO B
08/05/2026,IPHONE 17 PRO MAX 512GB SILVER NOVO,357329447631468,"R$ 9.900,00",R$ -,"R$ 9.500,00","Pegando um 16 pro de 256 GB na cor desert por 4.500,00 + 5.400,00 no pix",,"R$ 400,00",mai,26,Raissa,BLOCO B
08/05/2026,IPHONE XR 64GB PRETO SEMINOVO,35 308210 166173,"R$ 750,00","R$ 25,00","R$ 500,00",PIX,,"R$ 225,00",mai,26,Raissa,BLOCO B
09/05/2026,GALAXY TAB S10 FE NOVO,R5GL34HOBP,"R$ 2.680,00","R$ 70,00","R$ 2.350,00","480,00 pix / 40,00 pix  /160,00 dinheiro 2000  cartão 1x",,"R$ 260,00",mai,26,MARCELA,ONLINE
09/05/2026,IPHONE 12 128GB AZUL SEMINOVO,35 336173 107837 3,"R$ 1.600,00","R$ 25,00","R$ 1.300,00","375,00 pix / 1225 cartão",,"R$ 275,00",mai,26,MARCELA,ONLINE
09/05/2026,IPHONE 13 PRO MAX 128GB DOURADO SEMINOVO,35 386922 095954 1,"R$ 2.940,00","R$ 25,00","R$ 2.650,00","2940,00 cartão 7x",,"R$ 265,00",mai,26,MARCELA,ONLINE
09/05/2026,IPHONE 13 PRO MAX 128GB DOURADO SEMINOVO,35 396781136776 5,"R$ 2.900,00","R$ 5,00","R$ 2.650,00","R$ 1.800,00 PIX / ENTRADA IPH 12 64GB R$ 1.100,00",,"R$ 245,00",mai,26,RENAN,BLOCO B
09/05/2026,IPHONE 17 PRO BRANCO NOVO,354289633906715,"R$ 7.600,00",R$ -,"R$ 7.500,00","R$ 11.750,00 PIX (PAGAMENTO JUNTO, APARELHO 1)",,"R$ 100,00",mai,26,Ronald,CASES
09/05/2026,IPHONE 17E PRETO NOVO,351101750253834,"R$ 4.150,00",R$ -,"R$ 3.700,00","(PAGAMENTO JUNTO, APARELHO 2)",,"R$ 450,00",mai,26,Ronald,CASES
09/05/2026,IPHONE 16 PRO 256GB DOURADO SEMINOVO,35 887662 964219 1,"R$ 5.000,00","R$ 15,00","R$ 4.500,00","PIX de R$ 2.500,00 / PIX de R$ 2.500,00",,"R$ 485,00",mai,26,RENATA,CELL
09/05/2026,IPHONE 14 PRO MAX 128GB PRETO SEMINOVO,35 670385 755702 8,"R$ 3.650,00","R$ 25,00","R$ 3.150,00",PIX,,"R$ 475,00",mai,26,RENATA,CELL
09/05/2026,IPHONE 14 PRO ROXO SEMINOVO,350923388804337,"R$ 2.953,00","R$ 25,00","R$ 2.700,00","3.000,00 CREDITO 4X / 161,50 Crédito 2x",,"R$ 228,00",mai,26,Ronald,CELL
09/05/2026,IPHONE 14 LILAS 128GB  SEMINOVO,35 142179 914814,"R$ 2.350,00","R$ 15,00","R$ 2.050,00","1850 no pix + um aparelho na troca, iphone 11 64g por 500$",,"R$ 285,00",mai,26,RENAN,BLOCO B
09/05/2026,IPAD 11 (A16) 128GB BRANCO NOVO,MTGXKDV9QX,"R$ 2.650,00","R$ 75,00","R$ 2.199,99","PIX de R$ 2.500,00 / PIX de R$ 150,00",,"R$ 375,00",mai,26,RENATA,CELL
09/05/2026,IPHONE 15 AZUL NOVO,355225774481521,"R$ 4.000,00","R$ 15,00","R$ 3.600,00","R$ 2.400,00 Pix / ENTRADA IPHONE 13 R$ 1.600,00",,"R$ 385,00",mai,26,Ruyter,CASES
09/05/2026,IPHONE 17E ROSA 256GB NOVO,357457921078326,"R$ 3.950,00","R$ 15,00","R$ 3.650,00","$2300 no pix / e um aparelho na troca, iphone 13 preto, 128g por $1650",,"R$ 285,00",mai,26,RENAN,BLOCO B
09/05/2026,X8 PRO 256GB PRETO NOVO,866132085655102,"R$ 2.100,00",R$ -,"R$ 1.900,00",PIX,,"R$ 200,00",mai,26,Raissa,BLOCO B
09/05/2026,IPHONE 15 PRO MAX 256GB NATURAL SEMINOVO,35 651121 165544 0,"R$ 4.150,00","R$ 25,00","R$ 3.950,00",PIX,,"R$ 175,00",mai,26,Higor Guedes,CELL
09/05/2026,IPHONE 17 PRO MAX 256GB SILVER NOVO,351668140692723,"R$ 8.618,00","R$ 10,00","R$ 8.350,00","ENTRADA IPH 13 PRO 256GB VERDE R$ 2.000,00 / PIX R$ 6.618,00",,"R$ 258,00",mai,26,Higor Guedes,CELL
09/05/2026,IPHONE 15 PRO MAX 256GB AZUL SEMINOVO,350278026556389,"R$ 4.300,00","R$ 25,00","R$ 3.950,00","Pegando um iPhone 12 na cor lilás de 64 GB por 950,00+ 3.350,00 pix",,"R$ 325,00",mai,26,Raissa,BLOCO B
09/05/2026,IPHONE 15 PRO MAX 512GB AZUL SEMINOVO,35 637148 130341 5,"R$ 4.550,00",R$ -,"R$ 4.300,00","PIX 3.050,00 / ENTRADA IPH 13 128GB AZUL R$ 1.500,00",,"R$ 250,00",mai,26,Guilherme,BLOCO B
09/05/2026,IPHONE 17 PRO MAX 256GB AZUL NOVO,351205742681323,"R$ 8.650,00",R$ -,"R$ 8.250,00","ENTRADA IPH 16 PRO MAX 256GB DESERT R$ 5.000,00 / PIX R$ 7.300,00 - APARELHO 1",,"R$ 400,00",mai,26,Higor Guedes,CELL
09/05/2026,IPHONE 17 PRO MAX 256GB BRANCO NOVO,351205740164702,"R$ 8.650,00",R$ -,"R$ 8.350,00","ENTRADA IPH 16 PRO MAX 256GB PRETO R$ 5.000,00 / PIX JUNTO APARELHO 2",,"R$ 300,00",mai,26,Higor Guedes,CELL
09/05/2026,REDMI NOTE 15 256GB PRETO NOVO,862315087076260,"R$ 1.302,00","R$ 10,00","R$ 1.070,00",CREDITO,,"R$ 222,00",mai,26,Yasmin,ONLINE
09/05/2026,IPHONE 16 PRO 256GB PRETO SEMINOVO,35 723429 453395 9,"R$ 4.990,00","R$ 35,00","R$ 4.500,00","PIX : 2.500,00 / CARTÃO: 3.003,62 em 18x / ENTRADA: IPHONE X 256 GB PRETO : 0,00",,"R$ 455,00",mai,26,Guilherme,BLOCO B
10/05/2026,IPHONE 17 256GB AZUL LACRADO,35 648479 431988 5,"R$ 4.900,00",R$ -,"R$ 4.800,00",PIX,,"R$ 100,00",mai,26,RENATA,CELL
10/05/2026,IPHONE 16 PRO MAX DESERT 256GB SEMINOVO,35 824552 525203 6,"R$ 5.248,00","R$ 25,00","R$ 5.000,00","2460,00 pix / 2788,00 cartão",,"R$ 223,00",mai,26,MARCELA,ONLINE
10/05/2026,IPHONE 17 PRO MAX 256GB LARANJA LACRADO,35 349785 946209 6,"R$ 8.700,00","R$ 135,00","R$ 8.250,00",PIX,,"R$ 315,00",mai,26,RENATA,CELL
10/05/2026,IPHONE 15 256GB PRETO SEMINOVO - GARANTIA,35 838875 099142 1,"R$ 3.400,00","R$ 30,00","R$ 2.900,00","Entrou o 14  pro de volta e pagou 200,00 no pix de diferença para levar o 15 256GB (Não tinha outro 14 pro pra trocar ele levou o 15 e pagou a diferença)",,"R$ 470,00",mai,26,MARCELA,ONLINE
10/05/2026,IPHONE 16 PRO MAX 256GB PRETO SEMINOVO,358594363316795,"R$ 5.500,00","R$ 25,00","R$ 5.000,00","ENTRADA IPH 14 128GB AZUL R$ 2.000,00 / PIX R$ 3.500,00",,"R$ 475,00",mai,26,RENAN,BLOCO B
10/05/2026,IPHONE 17 PRO MAX 256GB BRANCO NOVO,35 598821 956365 4,"R$ 8.600,00","R$ 15,00","R$ 8.350,00","ENTRADA IPH 15 PRO MAX 256GB BRANCO R$ 3.950,00 / CREDITO R$ 11.500,00 - PAGAMENTO JUNTO, APARELHO 1",,"R$ 235,00",mai,26,RENAN,BLOCO B
10/05/2026,IPHONE 17 PRO MAX 256GB AZUL NOVO,35 843470 461306 5,"R$ 8.500,00","R$ 15,00","R$ 8.250,00","ENTRADA IPH 13 PRO MAX 128GB R$ 1.650,00 - PAGAMENTO JUNTO APARELHO 2",,"R$ 235,00",mai,26,RENAN,BLOCO B
10/05/2026,IPHONE 15 PRO MAX 256GB AZUL SEMINOVO,356371484863977,"R$ 4.150,00",R$ -,"R$ 4.050,00",PIX,,"R$ 100,00",mai,26,RENAN,BLOCO B
10/05/2026,IPHONE 16 PRO 256GB DESERT SEMINOVO,35 629560 1102623,"R$ 4.750,00",R$ -,"R$ 4.500,00",PIX,,"R$ 250,00",mai,26,Higor Guedes,CELL
10/05/2026,IPHONE 17 256GB PRETO NOVO,355559516499759,"R$ 5.000,00","R$ 25,00","R$ 4.850,00",DINHEIRO,,"R$ 125,00",mai,26,Higor Guedes,CELL
10/05/2026,NOTE 15 PRO 5G 256GB PRETO NOVO,863573082363500,"R$ 2.077,00","R$ 5,00","R$ 1.750,00",PIX,,"R$ 322,00",mai,26,Higor Guedes,CELL
